outcome,k,coef,t
ln(Employment),-5,-0.0727419611202489,-1.6169535638812786
ln(Employment),-4,-0.038780332094741396,-1.320573988461068
ln(Employment),-3,-0.021531714876455874,-0.965164231696146
ln(Employment),-2,0.014726910623807926,0.9943506064841539
ln(Employment),-1,0.0,
ln(Employment),0,0.02633865555243871,1.859706944040351
ln(Employment),1,0.06144895692846342,3.1640758615081377
ln(Employment),2,0.08938365814113239,3.637639010738549
ln(Employment),3,0.09554132431767796,3.2580699784081633
ln(Employment),4,0.11259562311912132,3.32386241458697
ln(Employment),5,0.06396518251880247,1.3562282290115313
ln(Sales/Emp),-5,-0.022220815962640143,-0.6681458192500137
ln(Sales/Emp),-4,-0.01507095242361027,-0.5907262571141688
ln(Sales/Emp),-3,-0.030751717996261512,-1.2486257872127018
ln(Sales/Emp),-2,-0.0072629394789037165,-0.4280160070828269
ln(Sales/Emp),-1,0.0,
ln(Sales/Emp),0,0.017197382938678344,1.086944990763403
ln(Sales/Emp),1,0.0314917986724768,1.6072821579542147
ln(Sales/Emp),2,0.04645835469279133,1.9539459920803859
ln(Sales/Emp),3,0.06173411913056712,2.388005452559516
ln(Sales/Emp),4,0.06257458862892724,2.1299286046416865
ln(Sales/Emp),5,0.09579561336467719,2.601194162271318
