year,ai,med,aimed,visai
2000,7072,4798,176,1889
2001,8116,4847,265,2071
2002,8778,5474,353,2315
2003,9794,5673,376,2672
2004,10966,4340,331,2843
2005,11051,4250,331,2874
2006,15059,5076,363,3866
2007,13111,4654,343,3244
2008,14799,4623,404,3489
2009,17135,5102,513,3929
2010,22292,7164,721,4763
2011,22739,7146,768,4888
2012,26365,7617,812,6015
2013,29722,9205,923,6813
2014,33604,9514,1010,7552
2015,32727,7929,892,7685
2016,33841,7881,970,7990
2017,34108,8103,1138,8265
2018,32869,7462,1225,8001
2019,39050,8644,1582,9801
2020,42475,8918,1794,11485
2021,39957,8129,1610,10810
2022,39299,8139,1669,11581
2023,38022,7836,1522,11207
2024,0,8786,0,0
