company,ticker,cik,edgar_filings_url,edgar_fulltext_url,trigger,lookback_months,discretion,covers_former,severance_link,adopted_date,source_url,confidence
FB FINANCIAL CORP,FBK,0001649749,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001649749&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001649749,,,,,,,,
GRANITE CONSTRUCTION INC,GVA,0000861459,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000861459&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000861459,,,,,,,,
GEO GROUP INC,GEO,0000923796,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000923796&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000923796,,,,,,,,
AZZ INC,AZZ,0000008947,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000008947&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000008947,,,,,,,,
TALOS ENERGY INC,TALO,0001724965,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001724965&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001724965,,,,,,,,
G-III APPAREL GROUP LTD,GIII,0000821002,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000821002&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000821002,,,,,,,,
ENCORE CAPITAL GROUP INC,ECPG,0001084961,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001084961&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001084961,,,,,,,,
SANFILIPPO JOHN B&SON,JBSS,0000880117,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000880117&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000880117,,,,,,,,
DIME COMMERCIAL BANCSHRS INC,DCOM,0000846617,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000846617&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000846617,,,,,,,,
BANKUNITED INC,BKU,0001504008,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001504008&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001504008,,,,,,,,
MATTHEWS INTL CORP  -CL A,MATW,0000063296,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000063296&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000063296,,,,,,,,
BOISE CASCADE CO,BCC,0001328581,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001328581&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001328581,,,,,,,,
PRESTIGE CONSUMER HEALTHCARE,PBH,0001295947,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001295947&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001295947,,,,,,,,
ALBANY INTL CORP  -CL A,AIN,0000819793,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000819793&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000819793,,,,,,,,
PATTERSON-UTI ENERGY INC,PTEN,0000889900,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000889900&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000889900,,,,,,,,
SAFETY INSURANCE GROUP INC,SAFT,0001172052,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001172052&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001172052,,,,,,,,
PHIBRO ANIMAL HEALTH CORP,PAHC,0001069899,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001069899&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001069899,,,,,,,,
J & J SNACK FOODS CORP,JJSF,0000785956,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000785956&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000785956,,,,,,,,
TRUSTMARK CORP,TRMK,0000036146,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000036146&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000036146,,,,,,,,
APOGEE ENTERPRISES INC,APOG,0000006845,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000006845&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000006845,,,,,,,,
SAFEHOLD INC,SAFE,0001095651,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001095651&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001095651,,,,,,,,
STANDEX INTERNATIONAL CORP,SXI,0000310354,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000310354&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000310354,,,,,,,,
PITNEY BOWES INC,PBI,0000078814,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000078814&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000078814,,,,,,,,
MAXLINEAR INC,MXL,0001288469,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001288469&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001288469,,,,,,,,
OPENLANE INC,OPLN,0001395942,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001395942&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001395942,,,,,,,,
XENCOR INC,XNCR,0001326732,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001326732&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001326732,,,,,,,,
STEWART INFORMATION SERVICES,STC,0000094344,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000094344&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000094344,,,,,,,,
MARTEN TRANSPORT LTD,MRTN,0000799167,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000799167&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000799167,,,,,,,,
GREENBRIER COS INC (THE),GBX,0000923120,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000923120&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000923120,,,,,,,,
