outcome,label,coef,t,se,p,N,r2w
invest_at,Investment/Assets,0.002735458944877482,0.8076238335160729,0.0033870458391109903,0.4193361184372293,7355,-0.0014255024434197683
capx_at,Capex/Assets,-0.0014737182806804484,-1.3022126591231273,0.001131703236299982,0.1928889074841329,7355,0.1258650310868351
rd_at,R\&D/Assets,0.001622488642906827,1.3314814765793839,0.0012185589296180442,0.18307638483608657,7355,0.1201282287627351
aqc_at,Acquisitions/Assets,0.002116968239936117,0.8068474788651846,0.00262375268608832,0.41978328564083744,7355,-0.009006683393253834
total_vol,Total return vol.,-0.014587662994670571,-2.6002895153199437,0.005610014926693916,0.009335272607779332,7322,0.02977382341620649
idio_vol,Idiosyncratic vol.,-0.02698396104551562,-5.009198820529381,0.005386881617660348,5.607737194601725e-07,7322,0.015114937730297151
book_lev,Book leverage,0.0027879428712226256,0.40213596473327634,0.006932836442698621,0.6875969212111186,7355,0.17673564338915437
cash_at,Cash/Assets,0.007844691080344982,1.4888002323912775,0.005269136120260416,0.13658751488346765,7355,0.09281194598512332
ln_pay,ln(CEO pay),0.13882370728255097,5.221765396186945,0.026585588732868634,1.8269189050457157e-07,7262,0.1951565388161859
equity_share,CEO equity-pay share,0.01679035999477458,1.7357657291033282,0.009673171738128648,0.08265240826878828,7253,0.042091037746635473
