signal,authors,journal,pubyear,sampstart,sampend,econ_cat,Sign,Return,T-Stat,risk_framed,risk_framed_narrow
AbnormalAccruals,Xie,AR,2001,1971,1992,accruals,-1.0,0.916666667,8.43,0,0
Accruals,Sloan,AR,1996,1962,1991,accruals,-1.0,0.866666667,4.71,0,0
AccrualsBM,Bartov and Kim,RFQA,2004,1980,1998,valuation,1.0,0.206,5.5,0,0
Activism1,Cremers and Nair,JF,2005,1990,2001,other,1.0,0.9025,3.13,0,0
AM,Fama and French,JF,1992,1963,1990,valuation,1.0,,5.69,0,0
AnalystRevision,"Hawkins, Chamberlin, Daniel",FAJ,1984,1975,1980,earnings forecast,1.0,0.460583333,3.169151376,0,0
AnnouncementReturn,"Chan, Jegadeesh and Lakonishok",JF,1996,1977,1992,earnings event,1.0,,9.25,0,0
AssetGrowth,"Cooper, Gulen and Schill",JF,2008,1968,2003,investment,-1.0,1.73,8.45,0,0
BetaLiquidityPS,Pastor and Stambaugh,JPE,2003,1968,1999,liquidity,1.0,0.533333333,2.54,1,0
BetaTailRisk,Kelly and Jiang,RFS,2014,1963,2010,risk,1.0,0.33,2.48,1,1
betaVIX,Ang et al.,JF,2006,1986,2000,volatility,-1.0,1.04,3.9,1,1
BM,Stattman,Other,1980,1962,1976,valuation,1.0,,,0,0
BMdec,Fama and French,JPM,1992,1963,1990,valuation,1.0,0.5,5.71,0,0
BookLeverage,Fama and French,JF,1992,1963,1990,leverage,-1.0,,5.34,0,0
BPEBM,"Penman, Richardson and Tuna",JAR,2007,1963,2001,leverage,-1.0,,4.1,0,0
Cash,Palazzo,JFE,2012,1972,2009,asset composition,1.0,0.69,2.14,0,0
CashProd,Chandrashekar and Rao,WP,2009,1963,2003,profitability alt,-1.0,,3.6,0,0
CBOperProf,Ball et al.,JFE,2016,1963,2014,profitability,1.0,0.47,3.17,0,0
CF,"Lakonishok, Shleifer, Vishny",JF,1994,1968,1990,valuation,1.0,0.658333333,3.379,0,0
cfp,"Desai, Rajgopal, Venkatachalam",AR,2004,1973,1997,valuation,1.0,1.275,2.77,0,0
ChangeInRecommendation,Jegadeesh et al.,JF,2004,1985,1998,recommendation,1.0,0.225,,0,0
ChAssetTurnover,Soliman,AR,2008,1984,2002,sales growth,1.0,,5.12,0,0
ChEQ,Lockwood and Prombutr,JFR,2010,1964,2007,investment,-1.0,0.8,5.38,0,0
ChForecastAccrual,Barth and Hutton,RAS,2004,1981,1996,earnings forecast,1.0,2.375,,0,0
ChInv,Thomas and Zhang,RAS,2002,1970,1997,investment alt,-1.0,0.949166667,,0,0
ChInvIA,Abarbanell and Bushee,AR,1998,1974,1988,investment growth,-1.0,,2.914,0,0
ChNAnalyst,Scherbina,ROF,2008,1982,2005,earnings event,-1.0,0.46,3.34,0,0
ChNNCOA,Soliman,AR,2008,1984,2002,investment alt,-1.0,,5.26,0,0
ChNWC,Soliman,AR,2008,1984,2002,investment alt,-1.0,,4.61,0,0
ChTax,Thomas and Zhang,JAR,2011,1977,2006,other,1.0,1.3,11.26,0,0
CitationsRD,"Hirschleifer, Hsu and Li",JFE,2013,1982,2008,profitability alt,1.0,0.26,2.6,0,0
CompEquIss,Daniel and Titman,JF,2006,1968,2003,external financing,-1.0,,4.39,0,0
CompositeDebtIssuance,"Lyandres, Sun and Zhang",RFS,2008,1970,2005,external financing,-1.0,0.523,8.59,0,0
ConvDebt,Valta,JFQA,2016,1985,2012,external financing,-1.0,,4.5,0,0
CoskewACX,"Ang, Chen and Xing",RFS,2006,1963,2001,risk,-1.0,0.28,2.76,1,1
CPVolSpread,Bali and Hovakimian,MS,2009,1996,2004,optionrisk,1.0,1.045,4.2,1,1
dVolCall,"An, Ang, Bali, Cakici",JF,2014,1996,2011,informed trading,1.0,1.09,3.45,0,0
dVolPut,"An, Ang, Bali, Cakici",JF,2014,1996,2011,informed trading,-1.0,0.42,2.03,0,0
dCPVolSpread,"An, Ang, Bali, Cakici",JF,2014,1996,2011,informed trading,-1.0,-1.68,6.77,0,0
CredRatDG,Dichev and Piotroski,JF,2001,1986,1998,other,-1.0,1.316666667,11.04,0,0
CustomerMomentum,Cohen and Frazzini,JF,2008,1980,2004,lead lag,1.0,1.578,3.79,0,0
DelBreadth,"Chen, Hong and Stein",JFE,2002,1979,1998,ownership,1.0,0.673333333,3.96,0,0
DelCOA,Richardson et al.,JAE,2005,1962,2001,investment alt,-1.0,,8.71,0,0
DelCOL,Richardson et al.,JAE,2005,1962,2001,external financing,-1.0,,4.49,0,0
DelEqu,Richardson et al.,JAE,2005,1963,2001,investment,-1.0,,6.25,0,0
DelFINL,Richardson et al.,JAE,2005,1962,2001,external financing,-1.0,,8.01,0,0
DelLTI,Richardson et al.,JAE,2005,1962,2001,investment,-1.0,,3.38,0,0
