bea_code,bea_name,imp_inputs_musd,gross_output_musd,imp_intensity
324,Petroleum and coal products,179490.0,725556.0,0.24738269685592842
3361MV,"Motor vehicles, bodies and trailers, and parts",143582.0,786252.0,0.18261575169284147
331,Primary metals,48138.0,307732.0,0.1564283207466237
333,Machinery,53454.0,443368.0,0.12056350480864654
3364OT,Other transportation equipment,43439.0,363383.0,0.11954053987115523
325,Chemical products,104763.0,973415.0,0.10762418906632834
313TT,Textile mills and textile product mills,5016.0,47281.0,0.10608912671051797
335,"Electrical equipment, appliances, and components",18456.0,186721.0,0.09884265829767407
326,Plastics and rubber products,28200.0,296073.0,0.09524678035484492
481,Air transportation,29321.0,311020.0,0.09427368014918655
337,Furniture and related products,7748.0,83596.0,0.0926838604717929
322,Paper products,16354.0,217485.0,0.0751959905280824
523,"Securities, commodity contracts, and investments",62159.0,828055.0,0.07506626975261305
332,Fabricated metal products,32578.0,455137.0,0.07157844780802264
315AL,Apparel and leather and allied products,1365.0,19818.0,0.06887677868604299
334,Computer and electronic products,25077.0,399392.0,0.06278793766525118
483,Water transportation,4373.0,71827.0,0.060882397984044996
323,Printing and related support activities,5025.0,84580.0,0.05941120832348073
321,Wood products,9679.0,173326.0,0.05584274719315048
311FT,Food and beverage and tobacco products,66153.0,1230694.0,0.053752598127560544
339,Miscellaneous manufacturing,9179.0,175406.0,0.05233002291825821
211,Oil and gas extraction,22506.0,467668.0,0.048123882754432634
513,Broadcasting and telecommunications,44132.0,943451.0,0.046777204115529054
23,Construction,111080.0,2389045.0,0.04649556621997493
562,Waste management and remediation services,7684.0,165554.0,0.04641385892216437
327,Nonmetallic mineral products,7848.0,173356.0,0.04527100302268165
524,Insurance carriers and related activities,61944.0,1421233.0,0.04358469019506302
111CA,Farms,20326.0,569973.0,0.035661338344097
5412OP,"Miscellaneous professional, scientific, and technical services",75702.0,2139597.0,0.03538142930654698
512,Motion picture and sound recording industries,6644.0,202164.0,0.03286440711501553
212,"Mining, except oil and gas",4226.0,141258.0,0.02991688966288635
722,Food services and drinking places,38470.0,1294819.0,0.029710716324057647
624,Social assistance,9278.0,334020.0,0.027776779833542903
81,"Other services, except government",26768.0,1023741.0,0.026147238412840747
213,Support activities for mining,2912.0,115595.0,0.025191401012154505
561,Administrative and support services,31064.0,1325652.0,0.02343299749858937
42,Wholesale trade,66840.0,2864034.0,0.02333771177297476
514,"Data processing, internet publishing, and other information services",17694.0,795249.0,0.022249635019974876
55,Management of companies and enterprises,17196.0,786533.0,0.02186303689737112
482,Rail transportation,2013.0,92200.0,0.02183297180043384
5415,Computer systems design and related services,15027.0,709586.0,0.021177137091205295
622,Hospitals,23533.0,1160822.0,0.020272703308517586
487OS,Other transportation and support activities,7080.0,350179.0,0.020218231247447732
22,Utilities,12829.0,645735.0,0.01986728301857573
621,Ambulatory health care services,28776.0,1482486.0,0.019410638616486092
452,General merchandise stores,5569.0,301206.0,0.01848900752309051
713,"Amusements, gambling, and recreation industries",4337.0,237395.0,0.01826912950988858
721,Accommodation,6707.0,376933.0,0.01779361318855075
623,Nursing and residential care facilities,5041.0,316879.0,0.015908280447741882
493,Warehousing and storage,2735.0,180620.0,0.015142287675783413
484,Truck transportation,7909.0,528292.0,0.014970887312319702
532RL,Rental and leasing services and lessors of intangible assets,9563.0,649875.0,0.014715137526447394
441,Motor vehicle and parts dealers,6911.0,541207.0,0.012769605714634142
4A0,Other retail,19423.0,1568050.0,0.012386722362169573
61,Educational services,5246.0,448634.0,0.011693273358684362
485,Transit and ground passenger transportation,1636.0,145634.0,0.011233640496038012
445,Food and beverage stores,3779.0,342600.0,0.01103035610040864
113FF,"Forestry, fishing, and related activities",667.0,68029.0,0.009804642137911773
ORE,Other real estate,19074.0,1967887.0,0.009692629708921294
525,"Funds, trusts, and other financial vehicles",2141.0,222201.0,0.009635420182627441
511,"Publishing industries, except internet (includes software)",5628.0,595942.0,0.009443872054663037
521CI,"Federal Reserve banks, credit intermediation, and related activities",12338.0,1373241.0,0.008984584643190817
711AS,"Performing arts, spectator sports, museums, and related activities",2267.0,288402.0,0.007860555752040555
5411,Legal services,2603.0,446201.0,0.005833693783743201
486,Pipeline transportation,336.0,71395.0,0.004706211919602213
HS,Housing,3014.0,2960887.0,0.0010179382056795818
