ticker,conm,naics3,imp_intensity,import_reliance,source_countries,finished_vs_input,tariff_language,quote,url
,AVISTA CORP,221,0.0198672830185757,,,,,,
OGS,ONE GAS INC,221,0.0198672830185757,,,,,,
,DUKE ENERGY CORP,221,0.0198672830185757,,,,,,
CYPH,OPKO HEALTH INC,621,0.019410638616486,,,,,,
JBHT,HUNT (JB) TRANSPRT SVCS INC,484,0.0149708873123197,,,,,,
LB,LANDBRIDGE CO LLC,533,0.0147151375264473,,,,,,
HOMD,HOME DEPOT INC,444,0.0123867223621695,,,,,,
AFYA,AFYA LIMITED,611,0.0116932733586843,,,,,,
TRTX,TPG RE FINANCE TRT INC,525,0.0096354201826274,,,,,,
CIM,CHIMERA INVESTMENT CORP,525,0.0096354201826274,,,,,,
WAMU,MR COOPER GROUP INC,522,0.0089845846431908,,,,,,
BY,BYLINE BANCORP INC,522,0.0089845846431908,,,,,,
GHIV,UWM HOLDINGS CORP,522,0.0089845846431908,,,,,,
UPST,UPSTART HOLDINGS INC,522,0.0089845846431908,,,,,,
CZFS,CITIZENS FINANCIAL SVCS INC,522,0.0089845846431908,,,,,,
BCAL,CALIFORNIA BANCRP,522,0.0089845846431908,,,,,,
IBCP,INDEPENDENT BANK CORP/MI,522,0.0089845846431908,,,,,,
RBCAA,REPUBLIC BANCORP INC/KY,522,0.0089845846431908,,,,,,
UMSB,UMB FINANCIAL CORP,522,0.0089845846431908,,,,,,
ARC,HILLTOP HOLDINGS INC,522,0.0089845846431908,,,,,,
WFSL,WAFD INC,522,0.0089845846431908,,,,,,
MHS,HOST HOTELS & RESORTS INC,531,0.0044814389947682,,,,,,
CDC,W P CAREY INC,531,0.0044814389947682,,,,,,
RE,EVEREST GROUP LTD,524,0.043584690195063,,,,,,
TRUP,TRUPANION INC,524,0.043584690195063,,,,,,
AMSF,AMERISAFE INC,524,0.043584690195063,,,,,,
NODK,NI HOLDINGS INC,524,0.043584690195063,,,,,,
KNF,KNIFE RIVER CORP,212,0.0299168896628863,,,,,,
NG,NOVAGOLD RESOURCES LTD,212,0.0299168896628863,,,,,,
FM,JACK IN THE BOX INC,722,0.0297107163240576,,,,,,
WING,WINGSTOP INC,722,0.0297107163240576,,,,,,
NCMI,NATIONAL CINEMEDIA INC,541,0.0283220407697555,,,,,,
MCW,MISTER CAR WASH INC,811,0.0261472384128407,,,,,,
CTAS,CINTAS CORP,812,0.0261472384128407,,,,,,
REZI,RESIDEO TECHNOLOGIES,423,0.0233377117729747,,,,,,
