naics3,imp_intensity,bea_codes
111,0.035661338344097,111CA
112,0.035661338344097,111CA
113,0.009804642137911773,113FF
114,0.009804642137911773,113FF
115,0.009804642137911773,113FF
211,0.048123882754432634,211
212,0.02991688966288635,212
213,0.025191401012154505,213
221,0.01986728301857573,22
236,0.04649556621997493,23
237,0.04649556621997493,23
238,0.04649556621997493,23
311,0.053752598127560544,311FT
312,0.053752598127560544,311FT
313,0.10608912671051797,313TT
314,0.10608912671051797,313TT
315,0.06887677868604299,315AL
316,0.06887677868604299,315AL
321,0.05584274719315048,321
322,0.0751959905280824,322
323,0.05941120832348073,323
324,0.24738269685592842,324
325,0.10762418906632834,325
326,0.09524678035484492,326
327,0.04527100302268165,327
331,0.1564283207466237,331
332,0.07157844780802264,332
333,0.12056350480864654,333
334,0.06278793766525118,334
335,0.09884265829767407,335
336,0.1626785892913838,3361MV|3364OT
337,0.0926838604717929,337
339,0.05233002291825821,339
423,0.02333771177297476,42
424,0.02333771177297476,42
425,0.02333771177297476,42
441,0.012769605714634142,441
442,0.012386722362169573,4A0
443,0.012386722362169573,4A0
444,0.012386722362169573,4A0
445,0.01103035610040864,445
446,0.012386722362169573,4A0
447,0.012386722362169573,4A0
448,0.012386722362169573,4A0
451,0.012386722362169573,4A0
452,0.01848900752309051,452
453,0.012386722362169573,4A0
454,0.012386722362169573,4A0
481,0.09427368014918655,481
482,0.02183297180043384,482
483,0.060882397984044996,483
484,0.014970887312319702,484
485,0.011233640496038012,485
486,0.004706211919602213,486
487,0.020218231247447732,487OS
488,0.020218231247447732,487OS
492,0.020218231247447732,487OS
493,0.015142287675783413,493
511,0.009443872054663037,511
512,0.03286440711501553,512
515,0.046777204115529054,513
516,0.046777204115529054,513
517,0.046777204115529054,513
518,0.022249635019974876,514
519,0.022249635019974876,514
521,0.008984584643190817,521CI
522,0.008984584643190817,521CI
523,0.07506626975261305,523
524,0.04358469019506302,524
525,0.009635420182627441,525
531,0.004481438994768273,HS|ORE
532,0.014715137526447394,532RL
533,0.014715137526447394,532RL
541,0.028322040769755513,5411|5412OP|5415
551,0.02186303689737112,55
561,0.02343299749858937,561
562,0.04641385892216437,562
611,0.011693273358684362,61
621,0.019410638616486092,621
622,0.020272703308517586,622
623,0.015908280447741882,623
624,0.027776779833542903,624
711,0.007860555752040555,711AS
712,0.007860555752040555,711AS
713,0.01826912950988858,713
721,0.01779361318855075,721
722,0.029710716324057647,722
811,0.026147238412840747,81
812,0.026147238412840747,81
813,0.026147238412840747,81
814,0.026147238412840747,81
