date,mktrf,rf,smb,hml,umd,mktret
2024-01-02,-0.007,0.0002,-0.0055,0.0078,-0.0211,-0.0068000000000000005
2024-01-03,-0.0101,0.0002,-0.0194,-0.0011,0.0059,-0.009899999999999999
2024-01-04,-0.0033,0.0002,0.0021,0.0009,-0.003,-0.0031
2024-01-05,0.0015,0.0002,-0.0081,0.0063,-0.0025,0.0017000000000000001
2024-01-08,0.0149,0.0002,0.009,-0.0127,0.009,0.0151
2024-01-09,-0.0021,0.0002,-0.0044,-0.0089,0.0098,-0.0018999999999999998
2024-01-10,0.0051,0.0002,-0.001,-0.0044,0.0095,0.0053
2024-01-11,-0.0014,0.0002,-0.0045,-0.0052,0.0098,-0.0012
2024-01-12,-0.0001,0.0002,-0.001,-0.0049,0.0064,0.0001
2024-01-16,-0.0047,0.0002,-0.0076,-0.0061,0.0114,-0.0045000000000000005
2024-01-17,-0.0059,0.0002,-0.0008,-0.0025,0.0059,-0.0057
2024-01-18,0.0087,0.0002,-0.001,-0.0035,0.0093,0.0089
2024-01-19,0.0119,0.0002,-0.0047,0.0067,0.0084,0.012100000000000001
2024-01-22,0.0038,0.0002,0.0174,0.0058,-0.0002,0.004
2024-01-23,0.0022,0.0002,-0.0065,-0.0055,-0.0063,0.0024000000000000002
2024-01-24,-0.0001,0.0002,-0.0074,0.0005,0.0057,0.0001
2024-01-25,0.0046,0.0002,0.0005,0.0057,-0.0027,0.0048
2024-01-26,-0.0002,0.0002,0.0041,-0.0027,-0.0012,0.0
2024-01-29,0.0085,0.0002,0.0107,-0.0059,0.0033,0.008700000000000001
2024-01-30,-0.0012,0.0002,-0.0127,0.0085,0.0046,-0.0009999999999999998
2024-01-31,-0.0174,0.0002,-0.0092,-0.0029,-0.0039,-0.0172
2024-02-01,0.0122,0.0002,0.0063,-0.0135,0.0032,0.012400000000000001
2024-02-02,0.0099,0.0002,-0.0143,-0.0051,0.0166,0.010100000000000001
2024-02-05,-0.0042,0.0002,-0.0073,-0.0066,0.0124,-0.004
2024-02-06,0.0027,0.0002,0.0085,-0.0047,-0.0144,0.0029000000000000002
2024-02-07,0.0077,0.0002,-0.009,-0.0061,0.0091,0.0079
2024-02-08,0.0021,0.0002,0.0149,0.0001,-0.0004,0.0023
2024-02-09,0.0065,0.0002,0.01,-0.0042,0.0088,0.006699999999999999
2024-02-12,0.0004,0.0002,0.0129,0.0111,-0.014,0.0006000000000000001
2024-02-13,-0.016,0.0002,-0.0241,-0.0065,0.0116,-0.0158
2024-02-14,0.0114,0.0002,0.0157,-0.0022,0.0,0.011600000000000001
2024-02-15,0.0067,0.0002,0.0085,0.0104,-0.0124,0.0069
2024-02-16,-0.0053,0.0002,-0.0066,-0.0017,0.0006,-0.0051
2024-02-20,-0.0073,0.0002,-0.0087,0.0033,-0.0043,-0.0071
2024-02-21,-0.0002,0.0002,-0.0082,0.0014,-0.0031,0.0
2024-02-22,0.0202,0.0002,-0.012,-0.0129,0.0214,0.020399999999999998
2024-02-23,0.0002,0.0002,0.0028,0.0,0.0008,0.0004
2024-02-26,-0.0026,0.0002,0.01,-0.0012,0.0106,-0.0024
2024-02-27,0.0026,0.0002,0.012,-0.0044,-0.0095,0.0028
2024-02-28,-0.0026,0.0002,-0.0086,-0.0001,-0.0006,-0.0024
2024-02-29,0.0053,0.0002,-0.0035,0.0098,0.0041,0.0055
2024-03-01,0.0076,0.0002,0.0009,-0.0055,0.0072,0.0078
2024-03-04,-0.0018,0.0002,-0.0079,0.0034,0.0007,-0.0015999999999999999
2024-03-05,-0.0107,0.0002,-0.0032,0.0117,-0.0094,-0.010499999999999999
2024-03-06,0.0053,0.0002,-0.0016,-0.0003,-0.0005,0.0055
2024-03-07,0.0102,0.0002,-0.0047,0.0003,0.0005,0.010400000000000001
2024-03-08,-0.0066,0.0002,0.005,0.0057,-0.0077,-0.0064
2024-03-11,-0.002,0.0002,-0.0071,0.004,-0.0149,-0.0018
2024-03-12,0.0104,0.0002,-0.0097,-0.0069,0.0183,0.0106
2024-03-13,-0.0014,0.0002,0.003,-0.0002,-0.0001,-0.0012
2024-03-14,-0.0042,0.0002,-0.0131,-0.0104,0.0065,-0.004
2024-03-15,-0.0058,0.0002,0.0075,0.0079,-0.0056,-0.0056
2024-03-18,0.0053,0.0002,-0.0102,-0.0025,0.0034,0.0055
2024-03-19,0.0054,0.0002,0.0053,-0.0027,0.0051,0.0056
2024-03-20,0.0102,0.0002,0.009,0.0101,0.0031,0.010400000000000001
2024-03-21,0.0042,0.0002,0.0005,0.0095,0.0059,0.004399999999999999
2024-03-22,-0.0023,0.0002,-0.0086,-0.0053,0.0049,-0.0021
2024-03-25,-0.0027,0.0002,-0.0024,0.0086,-0.0033,-0.0025
2024-03-26,-0.0026,0.0002,0.0009,-0.0013,0.0008,-0.0024
2024-03-27,0.0088,0.0002,0.0104,0.0091,-0.0137,0.009000000000000001
2024-03-28,0.0011,0.0002,0.0029,0.0048,-0.0043,0.0013000000000000002
2024-04-01,-0.0026,0.0002,-0.0089,-0.0028,0.0026,-0.0024
2024-04-02,-0.0085,0.0002,-0.011,0.0003,0.0026,-0.0083
2024-04-03,0.0017,0.0002,0.0031,-0.0003,0.0068,0.0019
2024-04-04,-0.0122,0.0002,0.0016,0.0015,-0.0099,-0.012
2024-04-05,0.0106,0.0002,-0.0032,-0.0068,0.0146,0.0108
2024-04-08,0.0001,0.0002,0.0052,0.0014,-0.0061,0.00030000000000000003
2024-04-09,0.0013,0.0002,0.0037,-0.0032,-0.0138,0.0015
2024-04-10,-0.01,0.0002,-0.0137,-0.0104,0.0083,-0.0098
2024-04-11,0.0073,0.0002,0.0024,-0.0062,0.0129,0.0075
2024-04-12,-0.0153,0.0002,-0.0033,0.0011,-0.0004,-0.015099999999999999
2024-04-15,-0.0129,0.0002,-0.0048,0.0075,-0.0027,-0.0127
2024-04-16,-0.0023,0.0002,-0.0003,-0.0082,0.0068,-0.0021
2024-04-17,-0.0064,0.0002,-0.0049,0.0056,-0.0092,-0.006200000000000001
2024-04-18,-0.0027,0.0002,-0.0028,0.0087,-0.0057,-0.0025
2024-04-19,-0.0082,0.0002,0.0082,0.019,-0.0185,-0.008
2024-04-22,0.0087,0.0002,-0.0021,0.0054,0.0052,0.0089
2024-04-23,0.0127,0.0002,0.0059,0.0,0.0127,0.0129
2024-04-24,-0.0001,0.0002,-0.0031,0.0027,-0.0061,0.0001
2024-04-25,-0.0047,0.0002,-0.0031,-0.002,0.0,-0.0045000000000000005
2024-04-26,0.0103,0.0002,0.0046,-0.0107,0.0117,0.0105
2024-04-29,0.0033,0.0002,0.0038,-0.0048,-0.0098,0.0035
2024-04-30,-0.0167,0.0002,-0.0019,-0.0025,-0.0054,-0.0165
2024-05-01,-0.0027,0.0002,0.0107,0.0003,-0.0027,-0.0025
2024-05-02,0.0101,0.0002,0.0072,-0.0003,0.0044,0.0103
2024-05-03,0.0118,0.0002,0.0002,-0.0019,-0.0025,0.012
2024-05-06,0.0108,0.0002,0.0003,-0.0006,0.0103,0.011000000000000001
2024-05-07,0.0005,0.0002,0.0007,-0.006,-0.0016,0.0007
2024-05-08,-0.0009,0.0002,-0.0054,0.0058,-0.0005,-0.0007
2024-05-09,0.0052,0.0002,0.0042,0.0037,-0.0059,0.005399999999999999
2024-05-10,0.0009,0.0002,-0.0092,0.0001,0.0029,0.0011
2024-05-13,-0.0004,0.0002,0.0024,-0.0026,-0.0115,-0.0002
2024-05-14,0.0056,0.0002,0.0051,0.0002,-0.0028,0.0058
2024-05-15,0.0115,0.0002,-0.0035,-0.0022,0.0111,0.0117
