,count,mean,std,25%,50%,75%
"CAR shock [Apr3,4]",4235.0,0.013633987564600453,0.11601262809440109,-0.03517768021862465,0.0090244203200434,0.05706729939898535
CAR pause [Apr9],4229.0,-0.023753778948096556,0.08435261982481848,-0.0580017085946074,-0.017815607564758,0.0158670348383133
"CAR pre [Mar27,Apr2]",4249.0,-0.018848237163655652,0.16258967064848975,-0.047408531735377,-0.0073588889251201,0.0177047462932729
CAR round-trip,4229.0,-0.009777603216433131,0.10137054643572892,-0.0456534867483307,-0.0112601574712304,0.0240518692548313
Imported-input intensity,4275.0,0.05753490737048928,0.043818264618940485,0.0222496350199748,0.0481238827544326,0.1076241890663283
Market beta,4275.0,1.0262876168070285,0.7347080994511649,0.5919887338644378,0.980152742474686,1.3812254587863988
ln(Assets),4274.0,6.751093912323924,2.584564273104987,4.889665677625546,6.99451145822779,8.595195274526947
COGS/Sales,3931.0,0.6293485855763147,0.3400022940660116,0.3902183474639288,0.6019942595534092,0.7857060616997597
Leverage,4274.0,0.2926415922463722,0.41507949970608,0.05334013597178516,0.21336698979185953,0.42278211474311006
Book/Market,4269.0,0.6520987924985632,1.2712579706681821,0.17156667438121442,0.4656110686053551,0.8706550987821433
