moderator,outcome,base,t_base,inter,t_inter,N
High COGS/sales (input-heavy),shock,-0.008245648998089336,-1.2934540808630353,0.001453939101460612,0.1935060716710069,3890
High COGS/sales (input-heavy),pause,0.00832821918524018,1.0886899398991157,-0.0038308748130230614,-0.5291477419619047,3885
Large firm (ln assets),shock,-0.003862857815023624,-1.6532149920403238,-0.006445396770462044,-1.9345969863349195,3890
Large firm (ln assets),pause,-0.00018664565358790294,-0.06705235965411531,0.011732427897031187,3.0938790975507033,3885
High market beta,shock,-0.01241147834165212,-3.6372206383230723,0.009584828304304419,3.2966077913274145,3890
High market beta,pause,0.006342892700936808,2.8749410866812544,-0.0003143399606924604,-0.08515836671040135,3885
High leverage,shock,-0.007135298417613359,-1.9673825590002603,0.0004350253820642831,0.0956331725674908,3890
High leverage,pause,0.00603206616530458,1.2011506975911241,-0.0007007144430966663,-0.15305826339689244,3885
High book/market (value),shock,-0.004485017637304839,-1.3978918356646128,-0.004844964021115,-1.5999188936443767,3890
High book/market (value),pause,-0.0002143628736664674,-0.0741993454218934,0.011250030874451863,3.3561794893063155,3885
