group,rel_month,coef,se
High belief,-24,-0.023482650966323338,0.006984278265389019
High belief,-23,-0.02535951036934083,0.00691968059848438
High belief,-22,-0.02699600765585902,0.006777241261306278
High belief,-21,-0.02718059557628545,0.0065327157787991585
High belief,-20,-0.026735860535190184,0.006315539306352706
High belief,-19,-0.026485366398975297,0.006156096082738343
High belief,-18,-0.026139159190647306,0.0060150704365181645
High belief,-17,-0.02563316288477107,0.005731230684290572
High belief,-16,-0.024904757142231816,0.005408321144607453
High belief,-15,-0.02416783615089043,0.005115301937599909
High belief,-14,-0.02321278897001049,0.0048622985122408185
High belief,-13,-0.021476780654931738,0.004589300402448496
High belief,-12,-0.019432117127909557,0.004265315753314739
High belief,-11,-0.017636025564296873,0.004040363389378602
High belief,-10,-0.016780912581636862,0.0038956837579679606
High belief,-9,-0.016330118541604096,0.003809807550623927
High belief,-8,-0.01537790582969153,0.003642645381109078
High belief,-7,-0.01333344393684168,0.0033920706481619916
High belief,-6,-0.010271856694268663,0.002963612656290895
High belief,-5,-0.007054157037776397,0.0024148945727953475
High belief,-4,-0.004158382293366024,0.0018459843163666436
High belief,-3,-0.002111973227793547,0.001330655917673191
High belief,-2,-0.0009384049790870972,0.0008903597916222704
High belief,-1,-0.0004131593090952991,0.00047218977199968946
High belief,0,0.0,0.0
High belief,1,0.00019019602500161824,0.0004606733737712425
High belief,2,-0.00012306570226094506,0.0009666356109788956
High belief,3,-0.000833017425165285,0.0013988262179216587
High belief,4,-0.0022963638022838032,0.001798478740721124
High belief,5,-0.003569041487112669,0.0021408992518059614
High belief,6,-0.005524187077806779,0.0025413870684494275
High belief,7,-0.007132829840579394,0.003064909787672059
High belief,8,-0.008726400791461027,0.0035316189110889485
High belief,9,-0.009677177414551428,0.00396792499622662
High belief,10,-0.010197731009708067,0.004265138438112738
High belief,11,-0.010304228305005252,0.004672102852425291
High belief,12,-0.010009670393270274,0.00509028707687155
High belief,13,-0.00990199947248391,0.00543363217843857
High belief,14,-0.009664725270670601,0.005671213788074497
High belief,15,-0.009308812696831427,0.0058769464712187455
High belief,16,-0.008580364083955617,0.006082025604602386
High belief,17,-0.008507312863675138,0.006217878875741697
High belief,18,-0.009564834274876826,0.00634199323962994
High belief,19,-0.0114752944192309,0.006496348919674619
High belief,20,-0.013355607694670351,0.006686605510578829
Low belief,-24,-0.002996180341165367,0.005428378820048
Low belief,-23,-0.0031400055122472494,0.005270184337254796
Low belief,-22,-0.0036711479240783404,0.005125546549686134
Low belief,-21,-0.003922401832128519,0.0049881234819515625
Low belief,-20,-0.004689789338592765,0.004914896185646446
Low belief,-19,-0.00570271830292964,0.00486036834892953
Low belief,-18,-0.005671587518175575,0.0048032872210161445
Low belief,-17,-0.00410295343798469,0.004610818507124963
Low belief,-16,-0.0015578780480385943,0.004407930851448655
Low belief,-15,0.00022952447998950666,0.004217037391533146
Low belief,-14,0.001032439462977997,0.00396754193312092
Low belief,-13,0.000984820334560477,0.003635589240506492
Low belief,-12,0.0008303919854990897,0.0032558201453715785
Low belief,-11,0.0006585864003801462,0.0029083733205630628
Low belief,-10,0.000890789487383229,0.002626530756607855
Low belief,-9,0.0006933356967037582,0.0024578842184056838
Low belief,-8,0.000415675229317322,0.002436809582884393
Low belief,-7,-6.164632214826051e-05,0.0025076557288894073
Low belief,-6,-0.00012242721302613226,0.0024423476377793143
Low belief,-5,7.880341670525846e-05,0.0021376216422281996
Low belief,-4,0.0003697877959628092,0.00173250084157622
Low belief,-3,0.0009757020157167992,0.0013605533110384797
Low belief,-2,0.0012251013542609616,0.0009770938707874478
Low belief,-1,0.0011608489044664578,0.000512326991739866
Low belief,0,0.0,0.0
Low belief,1,-0.0014374374916802035,0.0004687681289600372
Low belief,2,-0.002894282008843807,0.0009134740982490047
Low belief,3,-0.003374389215281065,0.0013001417998785006
Low belief,4,-0.004339031972014098,0.0016793676888587766
Low belief,5,-0.005492969157880283,0.0019559902648948174
Low belief,6,-0.007591583085487597,0.00220967458100415
Low belief,7,-0.010013785244334952,0.0024937768996476564
Low belief,8,-0.01195034538526879,0.002798251415575752
Low belief,9,-0.01317357002129004,0.0031391437734812626
Low belief,10,-0.013614884269488257,0.003440481967533132
Low belief,11,-0.014246111073594388,0.0037503960942546536
Low belief,12,-0.015243404799593623,0.0040724747539365325
Low belief,13,-0.016262801637282293,0.004315829236979275
Low belief,14,-0.01735425168676427,0.004534803178289215
Low belief,15,-0.018029843183444375,0.004730140132244292
Low belief,16,-0.018309498040353353,0.004912922731300266
Low belief,17,-0.017885359843599454,0.005059521618936399
Low belief,18,-0.016989869680198062,0.005208646038560021
Low belief,19,-0.01578365263695151,0.005389711186351953
Low belief,20,-0.014987010394914844,0.005601265366531265
