,Affirm,PeerAvg
2024-01,73.0,1.0
2024-02,84.0,0.75
2024-03,78.0,1.25
2024-04,105.0,1.5
2024-05,121.0,0.75
2024-06,106.0,1.5
2024-07,121.0,1.5
2024-08,135.0,3.5
2024-09,166.0,2.0
2024-10,163.0,4.0
2024-11,140.0,3.75
2024-12,138.0,5.0
2025-01,244.0,8.25
2025-02,188.0,6.5
2025-03,205.0,8.0
2025-04,189.0,4.75
2025-05,183.0,5.75
2025-06,180.0,7.0
2025-07,232.0,7.0
2025-08,168.0,6.25
2025-09,194.0,9.25
2025-10,200.0,9.75
2025-11,253.0,12.75
2025-12,215.0,15.5
2026-01,301.0,19.75
2026-02,233.0,17.75
2026-03,261.0,19.75
2026-04,310.0,19.25
2026-05,267.0,18.75
2026-06,169.0,14.0
