month,cr,n,post,logn,mstr
2022-01,0,52,0,3.970291913552122,2022-01
2022-01,1,17,0,2.8903717578961645,2022-01
2022-02,0,29,0,3.4011973816621555,2022-02
2022-02,1,11,0,2.4849066497880004,2022-02
2022-03,0,48,0,3.8918202981106265,2022-03
2022-03,1,31,0,3.4657359027997265,2022-03
2022-04,0,68,0,4.23410650459726,2022-04
2022-04,1,42,0,3.7612001156935624,2022-04
2022-05,0,35,0,3.58351893845611,2022-05
2022-05,1,29,0,3.4011973816621555,2022-05
2022-06,0,36,0,3.6109179126442243,2022-06
2022-06,1,23,0,3.1780538303479458,2022-06
2022-07,0,40,0,3.713572066704308,2022-07
2022-07,1,32,0,3.4965075614664802,2022-07
2022-08,0,52,0,3.970291913552122,2022-08
2022-08,1,62,0,4.143134726391533,2022-08
2022-09,0,43,0,3.784189633918261,2022-09
2022-09,1,42,0,3.7612001156935624,2022-09
2022-10,0,52,0,3.970291913552122,2022-10
2022-10,1,53,0,3.9889840465642745,2022-10
2022-11,0,59,0,4.0943445622221,2022-11
2022-11,1,51,0,3.9512437185814275,2022-11
2022-12,0,60,0,4.110873864173311,2022-12
2022-12,1,41,0,3.7376696182833684,2022-12
2023-01,0,68,0,4.23410650459726,2023-01
2023-01,1,51,0,3.9512437185814275,2023-01
2023-02,0,72,0,4.290459441148391,2023-02
2023-02,1,51,0,3.9512437185814275,2023-02
2023-03,0,63,0,4.1588830833596715,2023-03
2023-03,1,71,0,4.276666119016055,2023-03
2023-04,0,76,0,4.343805421853684,2023-04
2023-04,1,74,0,4.31748811353631,2023-04
2023-05,0,75,0,4.330733340286331,2023-05
2023-05,1,85,0,4.454347296253507,2023-05
2023-06,0,79,0,4.382026634673881,2023-06
2023-06,1,81,0,4.406719247264253,2023-06
2023-07,0,50,0,3.9318256327243257,2023-07
2023-07,1,54,0,4.007333185232471,2023-07
2023-08,0,83,0,4.430816798843313,2023-08
2023-08,1,67,0,4.219507705176107,2023-08
2023-09,0,80,0,4.394449154672439,2023-09
2023-09,1,58,0,4.07753744390572,2023-09
2023-10,0,64,0,4.174387269895637,2023-10
2023-10,1,59,0,4.0943445622221,2023-10
2023-11,0,69,0,4.248495242049359,2023-11
2023-11,1,76,0,4.343805421853684,2023-11
2023-12,0,74,0,4.31748811353631,2023-12
2023-12,1,69,0,4.248495242049359,2023-12
2024-01,0,85,0,4.454347296253507,2024-01
2024-01,1,73,0,4.304065093204169,2024-01
2024-02,0,93,0,4.543294782270004,2024-02
2024-02,1,84,0,4.442651256490317,2024-02
2024-03,0,100,0,4.61512051684126,2024-03
2024-03,1,78,0,4.3694478524670215,2024-03
2024-04,0,113,0,4.736198448394496,2024-04
2024-04,1,105,0,4.663439094112067,2024-04
2024-05,0,113,0,4.736198448394496,2024-05
2024-05,1,121,0,4.804021044733257,2024-05
2024-06,0,97,0,4.584967478670572,2024-06
2024-06,1,106,0,4.672828834461906,2024-06
2024-07,0,113,0,4.736198448394496,2024-07
2024-07,1,121,0,4.804021044733257,2024-07
2024-08,0,126,0,4.844187086458591,2024-08
2024-08,1,135,0,4.912654885736052,2024-08
2024-09,0,132,0,4.890349128221754,2024-09
2024-09,1,166,0,5.117993812416755,2024-09
2024-10,0,150,0,5.017279836814924,2024-10
2024-10,1,163,0,5.099866427824199,2024-10
2024-11,0,131,0,4.882801922586371,2024-11
2024-11,1,140,0,4.948759890378168,2024-11
2024-12,0,163,0,5.099866427824199,2024-12
2024-12,1,138,0,4.9344739331306915,2024-12
2025-01,0,213,0,5.365976015021851,2025-01
2025-01,1,244,0,5.501258210544727,2025-01
2025-02,0,132,0,4.890349128221754,2025-02
2025-02,1,188,0,5.241747015059643,2025-02
2025-03,0,140,0,4.948759890378168,2025-03
2025-03,1,205,0,5.327876168789581,2025-03
2025-04,0,172,1,5.153291594497779,2025-04
2025-04,1,189,1,5.247024072160486,2025-04
2025-05,0,188,1,5.241747015059643,2025-05
2025-05,1,183,1,5.214935757608986,2025-05
2025-06,0,194,1,5.272999558563747,2025-06
2025-06,1,180,1,5.198497031265826,2025-06
2025-07,0,272,1,5.60947179518496,2025-07
2025-07,1,232,1,5.4510384535657,2025-07
2025-08,0,256,1,5.54907608489522,2025-08
2025-08,1,168,1,5.1298987149230735,2025-08
2025-09,0,296,1,5.6937321388027,2025-09
2025-09,1,194,1,5.272999558563747,2025-09
2025-10,0,309,1,5.736572297479192,2025-10
2025-10,1,200,1,5.303304908059076,2025-10
2025-11,0,352,1,5.8664680569332965,2025-11
2025-11,1,253,1,5.537334267018537,2025-11
2025-12,0,479,1,6.173786103901937,2025-12
2025-12,1,215,1,5.375278407684165,2025-12
2026-01,0,497,1,6.210600077024653,2026-01
2026-01,1,301,1,5.71042701737487,2026-01
2026-02,0,432,1,6.07073772800249,2026-02
2026-02,1,233,1,5.455321115357702,2026-02
2026-03,0,473,1,6.161207321695077,2026-03
2026-03,1,261,1,5.568344503761097,2026-03
2026-04,0,493,1,6.202535517187923,2026-04
2026-04,1,310,1,5.739792912179234,2026-04
2026-05,0,485,1,6.186208623900494,2026-05
2026-05,1,267,1,5.5909869805108565,2026-05
2026-06,0,381,1,5.945420608606575,2026-06
2026-06,1,169,1,5.135798437050262,2026-06
