firm,month,n,cr,cr_share,treat,post,mstr
Affirm,2022-01,69,17,0.2463768115942029,1,0,2022-01
Affirm,2022-02,40,11,0.275,1,0,2022-02
Affirm,2022-03,79,31,0.3924050632911392,1,0,2022-03
Affirm,2022-04,110,42,0.38181818181818183,1,0,2022-04
Affirm,2022-05,64,29,0.453125,1,0,2022-05
Affirm,2022-06,59,23,0.3898305084745763,1,0,2022-06
Affirm,2022-07,72,32,0.4444444444444444,1,0,2022-07
Affirm,2022-08,114,62,0.543859649122807,1,0,2022-08
Affirm,2022-09,85,42,0.49411764705882355,1,0,2022-09
Affirm,2022-10,105,53,0.5047619047619047,1,0,2022-10
Affirm,2022-11,110,51,0.4636363636363636,1,0,2022-11
Affirm,2022-12,101,41,0.40594059405940597,1,0,2022-12
Affirm,2023-01,119,51,0.42857142857142855,1,0,2023-01
Affirm,2023-02,123,51,0.4146341463414634,1,0,2023-02
Affirm,2023-03,134,71,0.5298507462686567,1,0,2023-03
Affirm,2023-04,150,74,0.49333333333333335,1,0,2023-04
Affirm,2023-05,160,85,0.53125,1,0,2023-05
Affirm,2023-06,160,81,0.50625,1,0,2023-06
Affirm,2023-07,104,54,0.5192307692307693,1,0,2023-07
Affirm,2023-08,150,67,0.44666666666666666,1,0,2023-08
Affirm,2023-09,138,58,0.42028985507246375,1,0,2023-09
Affirm,2023-10,123,59,0.4796747967479675,1,0,2023-10
Affirm,2023-11,145,76,0.5241379310344828,1,0,2023-11
Affirm,2023-12,143,69,0.4825174825174825,1,0,2023-12
Affirm,2024-01,158,73,0.4620253164556962,1,0,2024-01
Affirm,2024-02,177,84,0.4745762711864407,1,0,2024-02
Affirm,2024-03,178,78,0.43820224719101125,1,0,2024-03
Affirm,2024-04,218,105,0.481651376146789,1,0,2024-04
Affirm,2024-05,234,121,0.5170940170940171,1,0,2024-05
Affirm,2024-06,203,106,0.5221674876847291,1,0,2024-06
Affirm,2024-07,234,121,0.5170940170940171,1,0,2024-07
Affirm,2024-08,261,135,0.5172413793103449,1,0,2024-08
Affirm,2024-09,298,166,0.5570469798657718,1,0,2024-09
Affirm,2024-10,313,163,0.5207667731629393,1,0,2024-10
Affirm,2024-11,271,140,0.5166051660516605,1,0,2024-11
Affirm,2024-12,301,138,0.4584717607973422,1,0,2024-12
Affirm,2025-01,457,244,0.5339168490153173,1,0,2025-01
Affirm,2025-02,320,188,0.5875,1,0,2025-02
Affirm,2025-03,345,205,0.5942028985507246,1,0,2025-03
Affirm,2025-04,361,189,0.5235457063711911,1,1,2025-04
Affirm,2025-05,371,183,0.49326145552560646,1,1,2025-05
Affirm,2025-06,374,180,0.48128342245989303,1,1,2025-06
Affirm,2025-07,504,232,0.4603174603174603,1,1,2025-07
Affirm,2025-08,424,168,0.39622641509433965,1,1,2025-08
Affirm,2025-09,490,194,0.39591836734693875,1,1,2025-09
