firm,month,n,logn,treat,post,mstr
Affirm,2022-06,23,3.1780538303479458,1,0,2022-06
Affirm,2022-07,32,3.4965075614664802,1,0,2022-07
Affirm,2022-08,62,4.143134726391533,1,0,2022-08
Affirm,2022-09,42,3.7612001156935624,1,0,2022-09
Affirm,2022-10,53,3.9889840465642745,1,0,2022-10
Affirm,2022-11,51,3.9512437185814275,1,0,2022-11
Affirm,2022-12,41,3.7376696182833684,1,0,2022-12
Affirm,2023-01,51,3.9512437185814275,1,0,2023-01
Affirm,2023-02,51,3.9512437185814275,1,0,2023-02
Affirm,2023-03,71,4.276666119016055,1,0,2023-03
Affirm,2023-04,74,4.31748811353631,1,0,2023-04
Affirm,2023-05,85,4.454347296253507,1,0,2023-05
Affirm,2023-06,81,4.406719247264253,1,0,2023-06
Affirm,2023-07,54,4.007333185232471,1,0,2023-07
Affirm,2023-08,67,4.219507705176107,1,0,2023-08
Affirm,2023-09,58,4.07753744390572,1,0,2023-09
Affirm,2023-10,59,4.0943445622221,1,0,2023-10
Affirm,2023-11,76,4.343805421853684,1,0,2023-11
Affirm,2023-12,69,4.248495242049359,1,0,2023-12
Affirm,2024-01,73,4.304065093204169,1,0,2024-01
Affirm,2024-02,84,4.442651256490317,1,0,2024-02
Affirm,2024-03,78,4.3694478524670215,1,0,2024-03
Affirm,2024-04,105,4.663439094112067,1,0,2024-04
Affirm,2024-05,121,4.804021044733257,1,0,2024-05
Affirm,2024-06,106,4.672828834461906,1,0,2024-06
Affirm,2024-07,121,4.804021044733257,1,0,2024-07
Affirm,2024-08,135,4.912654885736052,1,0,2024-08
Affirm,2024-09,166,5.117993812416755,1,0,2024-09
Affirm,2024-10,163,5.099866427824199,1,0,2024-10
Affirm,2024-11,140,4.948759890378168,1,0,2024-11
Affirm,2024-12,138,4.9344739331306915,1,0,2024-12
Affirm,2025-01,244,5.501258210544727,1,0,2025-01
Affirm,2025-02,188,5.241747015059643,1,0,2025-02
Affirm,2025-03,205,5.327876168789581,1,0,2025-03
Affirm,2025-04,189,5.247024072160486,1,1,2025-04
Affirm,2025-05,183,5.214935757608986,1,1,2025-05
Affirm,2025-06,180,5.198497031265826,1,1,2025-06
Affirm,2025-07,232,5.4510384535657,1,1,2025-07
Affirm,2025-08,168,5.1298987149230735,1,1,2025-08
Affirm,2025-09,194,5.272999558563747,1,1,2025-09
Affirm,2025-10,200,5.303304908059076,1,1,2025-10
Affirm,2025-11,253,5.537334267018537,1,1,2025-11
Affirm,2025-12,215,5.375278407684165,1,1,2025-12
Affirm,2026-01,301,5.71042701737487,1,1,2026-01
Affirm,2026-02,233,5.455321115357702,1,1,2026-02
Affirm,2026-03,261,5.568344503761097,1,1,2026-03
Affirm,2026-04,310,5.739792912179234,1,1,2026-04
Affirm,2026-05,267,5.5909869805108565,1,1,2026-05
Affirm,2026-06,169,5.135798437050262,1,1,2026-06
Klarna,2022-06,1,0.6931471805599453,0,0,2022-06
Klarna,2022-07,0,0.0,0,0,2022-07
Klarna,2022-08,2,1.0986122886681096,0,0,2022-08
Klarna,2022-09,0,0.0,0,0,2022-09
Klarna,2022-10,1,0.6931471805599453,0,0,2022-10
Klarna,2022-11,1,0.6931471805599453,0,0,2022-11
Klarna,2022-12,2,1.0986122886681096,0,0,2022-12
Klarna,2023-01,2,1.0986122886681096,0,0,2023-01
Klarna,2023-02,1,0.6931471805599453,0,0,2023-02
Klarna,2023-03,2,1.0986122886681096,0,0,2023-03
