date,mktrf,rf,mktret,ym
2018-12-01,-0.0955,0.0019,-0.0936,201812
2019-01-01,0.0837,0.0021,0.0858,201901
2019-02-01,0.0342,0.0018,0.036000000000000004,201902
2019-03-01,0.011,0.0019,0.0129,201903
2019-04-01,0.0397,0.0021,0.0418,201904
2019-05-01,-0.0692,0.0021,-0.06709999999999999,201905
2019-06-01,0.0699,0.0018,0.0717,201906
2019-07-01,0.0123,0.0019,0.0142,201907
2019-08-01,-0.0255,0.0016,-0.023899999999999998,201908
2019-09-01,0.0141,0.0018,0.0159,201909
2019-10-01,0.0207,0.0015,0.0222,201910
2019-11-01,0.0387,0.0012,0.0399,201911
2019-12-01,0.0277,0.0014,0.029099999999999997,201912
2020-01-01,-0.0011,0.0013,0.00019999999999999987,202001
2020-02-01,-0.0815,0.0012,-0.0803,202002
2020-03-01,-0.1337,0.0012,-0.1325,202003
2020-04-01,0.136,0.0,0.136,202004
2020-05-01,0.0557,0.0001,0.0558,202005
2020-06-01,0.0245,0.0001,0.0246,202006
2020-07-01,0.0583,0.0001,0.0584,202007
2020-08-01,0.0762,0.0001,0.0763,202008
2020-09-01,-0.0364,0.0001,-0.0363,202009
2020-10-01,-0.0208,0.0001,-0.0207,202010
2020-11-01,0.1245,0.0001,0.1246,202011
2020-12-01,0.0463,0.0001,0.046400000000000004,202012
2021-01-01,-0.0007,0.0,-0.0007,202101
2021-02-01,0.0281,0.0,0.0281,202102
2021-03-01,0.0317,0.0,0.0317,202103
2021-04-01,0.0495,0.0,0.0495,202104
2021-05-01,0.003,0.0,0.003,202105
2021-06-01,0.0274,0.0,0.0274,202106
2021-07-01,0.0134,0.0,0.0134,202107
2021-08-01,0.0294,0.0,0.0294,202108
2021-09-01,-0.044,0.0,-0.044,202109
2021-10-01,0.0663,0.0,0.0663,202110
2021-11-01,-0.0158,0.0,-0.0158,202111
2021-12-01,0.0323,0.0001,0.032400000000000005,202112
2022-01-01,-0.0616,0.0,-0.0616,202201
2022-02-01,-0.0228,0.0,-0.0228,202202
2022-03-01,0.0308,0.0,0.0308,202203
2022-04-01,-0.0941,0.0,-0.0941,202204
2022-05-01,-0.0034,0.0003,-0.0031,202205
2022-06-01,-0.084,0.0006,-0.0834,202206
2022-07-01,0.0957,0.0008,0.09649999999999999,202207
2022-08-01,-0.0377,0.0019,-0.0358,202208
2022-09-01,-0.0934,0.0019,-0.0915,202209
2022-10-01,0.0785,0.0023,0.0808,202210
2022-11-01,0.0465,0.0029,0.0494,202211
2022-12-01,-0.0638,0.0033,-0.0605,202212
2023-01-01,0.0661,0.0035,0.06960000000000001,202301
2023-02-01,-0.0257,0.0034,-0.0223,202302
2023-03-01,0.0248,0.0036,0.028399999999999998,202303
2023-04-01,0.0062,0.0035,0.0097,202304
2023-05-01,0.0034,0.0036,0.006999999999999999,202305
2023-06-01,0.0646,0.004,0.06860000000000001,202306
2023-07-01,0.0321,0.0045,0.036599999999999994,202307
2023-08-01,-0.0236,0.0045,-0.0191,202308
2023-09-01,-0.0523,0.0043,-0.048,202309
2023-10-01,-0.0315,0.0047,-0.0268,202310
2023-11-01,0.0888,0.0044,0.0932,202311
2023-12-01,0.0485,0.0043,0.0528,202312
2024-01-01,0.0073,0.0047,0.012,202401
2024-02-01,0.0507,0.0042,0.054900000000000004,202402
2024-03-01,0.0284,0.0043,0.0327,202403
2024-04-01,-0.0465,0.0047,-0.0418,202404
2024-05-01,0.0433,0.0044,0.0477,202405
2024-06-01,0.028,0.0041,0.032100000000000004,202406
2024-07-01,0.0122,0.0045,0.0167,202407
2024-08-01,0.016,0.0048,0.0208,202408
2024-09-01,0.0172,0.004,0.0212,202409
2024-10-01,-0.01,0.0039,-0.0061,202410
2024-11-01,0.0649,0.004,0.0689,202411
2024-12-01,-0.0317,0.0037,-0.027999999999999997,202412
2025-01-01,0.028,0.0037,0.0317,202501
2025-02-01,-0.0244,0.0033,-0.0211,202502
2025-03-01,-0.0639,0.0034,-0.0605,202503
2025-04-01,-0.0084,0.0035,-0.0049,202504
2025-05-01,0.0606,0.0038,0.0644,202505
2025-06-01,0.0486,0.0034,0.052,202506
2025-07-01,0.0198,0.0034,0.023200000000000002,202507
2025-08-01,0.0184,0.0038,0.0222,202508
2025-09-01,0.0339,0.0033,0.0372,202509
2025-10-01,0.0196,0.0037,0.0233,202510
2025-11-01,-0.0013,0.003,0.0017000000000000001,202511
2025-12-01,-0.0036,0.0034,-0.0002000000000000001,202512
