soc,occ,aioe
11-1011,Chief Executives,1.334246
11-1021,General and Operations Managers,0.5748773
11-2011,Advertising and Promotions Managers,1.294387
11-2021,Marketing Managers,1.315032
11-2022,Sales Managers,1.26628
11-2031,Public Relations Managers,1.293689
11-3011,Administrative Services Managers,0.7398278
11-3021,Computer and Information Systems Managers,1.059853
11-3031,Financial Managers,1.446232
11-3051,Industrial Production Managers,0.5086878
11-3061,Purchasing Managers,1.423426
11-3071,"Transportation, Storage, and Distribution Managers",0.8907923
11-3111,Compensation and Benefits Managers,1.298235
11-3121,Human Resources Managers,1.320417
11-3131,Training and Development Managers,1.284423
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1443684
11-9021,Construction Managers,1.029139
11-9031,"Education Administrators, Preschool and Child Care Center/Program",0.838007
11-9032,"Education Administrators, Elementary and Secondary School",1.048811
11-9033,"Education Administrators, Postsecondary",1.461149
11-9039,"Education Administrators, All Other",0.3541265
11-9041,Engineering Managers,0.8370105
11-9051,Food Service Managers,-0.1213112
11-9061,Funeral Directors,0.3719018
11-9071,Gaming Managers,0.8299207
11-9081,Lodging Managers,0.4021726
11-9111,Medical and Health Services Managers,1.260259
11-9121,Natural Sciences Managers,1.327906
11-9131,Postmasters and Mail Superintendents,0.8233757
11-9141,"Property, Real Estate, and Community Association Managers",1.215396
11-9151,Social and Community Service Managers,1.156153
11-9161,Emergency Management Directors,1.030768
11-9199,"Managers, All Other",0.9646872
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.068559
13-1021,"Purchasing Agents and Buyers, Farm Products",0.7687054
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.8188258
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.509181
13-1031,"Claims Adjusters, Examiners, and Investigators",1.274024
13-1032,"Insurance Appraisers, Auto Damage",0.6634955
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.6981205
13-1051,Cost Estimators,1.367669
13-1071,"Employment, Recruitment, and Placement Specialists",1.36005
13-1074,Farm Labor Contractors,-0.4354025
13-1075,Labor Relations Specialists,1.334834
13-1081,Logisticians,1.297303
