ticker,naics4,aiie,ai_per_10k_words,ai_mentions_any,accession
BERY,3261,-0.8657592,0.0,0,0001140361-22-042319
IBIO,3254,0.4637086,4.963232893172942,1,0001420720-22-000064
SEDG,3344,0.6828295,0.0,0,0001178913-22-000760
NNVC,5417,1.635407,0.0,0,0001410578-22-002878
VOYA,5241,2.058794,0.0,0,0001535929-22-000018
MRKR,3254,0.4637086,0.0,0,0001410578-22-000418
PRSO,3344,0.6828295,0.3983428935627788,1,0001564590-22-012981
RVMD,5417,1.635407,0.0,0,0000950170-22-002297
CFLT,5112,1.966309,0.2503975060408398,1,0000950170-22-002008
PLAY,7225,-1.171986,0.0,0,0001193125-22-087521
ORMP,4539,0.00781,0.0,0,0001213900-21-062009
MNRL,2111,0.6686154,0.0,0,0001745797-22-000017
AVGR,5614,1.704965,0.0,0,0001437749-22-006919
ANSS,5112,1.966309,0.0,0,0001013462-22-000005
WH,7211,-0.902616,0.0,0,0001722684-22-000005
WCC,4238,0.2607571,0.0,0,0000929008-22-000009
CLR,2111,0.6686154,0.0,0,0000732834-22-000006
INUV,5418,1.305607,8.388302131391315,1,0000829323-22-000015
GDDY,5415,1.860226,0.1306284534897391,1,0001609711-22-000024
SGBX,2362,-0.6632232,0.0,0,0001213900-22-020226
AVEO,3254,0.4637086,0.0,0,0001628280-22-006093
AWRE,3344,0.6828295,0.0,0,0001564590-22-010383
ROKU,5152,1.098212,0.2967535165291708,1,0001428439-22-000010
AUID,5112,1.966309,8.362391328357974,1,0001213900-22-014214
IPI,2123,-1.037903,0.0,0,0001421461-22-000007
MLSS,3391,0.2301883,0.0,0,0001437749-22-007873
LGL,3344,0.6828295,0.0,0,0001564590-22-011892
OVID,6213,0.7008373,0.0,0,0000950170-22-003668
FCN,5416,1.8047,0.0,0,0000887936-22-000013
CYH,6231,-0.2430007,0.0,0,0001564590-22-005570
COO,3391,0.2301883,0.0,0,0000711404-21-000038
SITM,3344,0.6828295,0.0,0,0000950170-22-002096
ATLC,5614,1.704965,1.0907950532444337,1,0001437749-22-006296
CACI,5415,1.860226,0.9279450656521134,1,0001564590-22-029077
PESI,5622,-0.7965308,0.2575991756826378,1,0001493152-22-009260
DXCM,3391,0.2301883,0.2328342918345013,1,0001093557-22-000014
