naics4,industry,aiie,bucket
1133,Logging,-1.360161,user
1151,Support Activities for Crop Production,-2.165304,user
1152,Support Activities for Animal Production,-1.149307,user
2111,Oil and Gas Extraction,0.6686154,user
2121,Coal Mining,-1.146242,user
2122,Metal Ore Mining,-0.8924032,user
2123,Nonmetallic Mineral Mining and Quarrying,-1.037903,user
2131,Support Activities for Mining,-0.9810408,user
2211,"Electric Power Generation, Transmission and Distribution",0.2096187,user
2212,Natural Gas Distribution,0.3453538,user
2213,"Water, Sewage and Other Systems",-0.1564226,user
2361,Residential Building Construction,-0.7602519,user
2362,Nonresidential Building Construction,-0.6632232,user
2371,Utility System Construction,-1.176381,user
2372,Land Subdivision,0.5814018,user
2373,"Highway, Street, and Bridge Construction",-1.296256,user
2379,Other Heavy and Civil Engineering Construction,-1.104619,user
2381,"Foundation, Structure, and Building Exterior Contractors",-1.757023,user
2382,Building Equipment Contractors,-0.8320791,user
2383,Building Finishing Contractors,-1.602616,user
2389,Other Specialty Trade Contractors,-1.358564,user
3111,Animal Food Manufacturing,-0.78914,user
3112,Grain and Oilseed Milling,-0.7206286,user
3113,Sugar and Confectionery Product Manufacturing,-0.7729946,user
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.980808,user
3115,Dairy Product Manufacturing,-0.8435335,user
3116,Animal Slaughtering and Processing,-1.662866,user
3117,Seafood Product Preparation and Packaging,-1.258223,user
3118,Bakeries and Tortilla Manufacturing,-0.8015609,user
3119,Other Food Manufacturing,-0.8538909,user
3121,Beverage Manufacturing,-0.6586424,user
3122,Tobacco Manufacturing,-0.8843057,user
3131,"Fiber, Yarn, and Thread Mills",-1.587852,user
3132,Fabric Mills,-1.114104,user
3133,Textile and Fabric Finishing and Fabric Coating Mills,-0.4358472,user
3141,Textile Furnishings Mills,-1.067818,user
3149,Other Textile Product Mills,-0.561571,user
3151,Apparel Knitting Mills,-1.272213,user
3152,Cut and Sew Apparel Manufacturing,-0.6520287,user
3159,Apparel Accessories and Other Apparel Manufacturing,-0.7916203,user
3161,Leather and Hide Tanning and Finishing,-1.103977,user
3162,Footwear Manufacturing,-0.5300771,user
3169,Other Leather and Allied Product Manufacturing,-0.6799067,user
3211,Sawmills and Wood Preservation,-1.421037,user
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-1.13457,user
3219,Other Wood Product Manufacturing,-1.146,user
3221,"Pulp, Paper, and Paperboard Mills",-0.9502621,user
3222,Converted Paper Product Manufacturing,-0.8241846,user
3231,Printing and Related Support Activities,-0.2099964,user
3241,Petroleum and Coal Products Manufacturing,-0.1959436,user
3250,Chemical Manufacturing (3255 and 3256 only),-0.1203409,user
3254,Pharmaceutical and Medicine Manufacturing,0.4637086,user
3261,Plastics Product Manufacturing,-0.8657592,user
3262,Rubber Product Manufacturing,-1.077709,user
