ticker,name,holder,inst_type,src,ticker_correct,holder_correct,notes
JPM,JPMORGAN CHASE & CO,1039502,Bank Holding Company,Y9C,,,
BAC,BANK OF AMERICA CORP,1073757,Bank Holding Company,Y9C,,,
C,CITIGROUP INC,1951350,Bank Holding Company,Y9C,,,
WFC,WELLS FARGO & CO,1120754,Bank Holding Company,Y9C,,,
USB,US BANCORP,1119794,Bank Holding Company,Y9C,,,
PNC,PNC FINANCIAL SVCS GROUP INC,1069778,Bank Holding Company,Y9C,,,
TFC,TRUIST FINANCIAL CORP,1074156,Bank Holding Company,Y9C,,,
COF,CAPITAL ONE FINANCIAL CORP,2277860,Bank Holding Company,Y9C,,,
BK,BANK OF NEW YORK MELLON CORP,3587146,Bank Holding Company,Y9C,,,
STT,STATE STREET CORP,1111435,Bank Holding Company,Y9C,,,
CFG,CITIZENS FINANCIAL GROUP INC,1132449,Bank Holding Company,Y9C,,,
SIVB,SVB FINANCIAL GROUP,1031449,Bank Holding Company,Y9C,,,
MTB,M & T BANK CORP,1037003,Bank Holding Company,Y9C,,,
ALLY,ALLY FINANCIAL INC,1562859,Bank Holding Company,Y9C,,,
KEY,KEYCORP,1068025,Bank Holding Company,Y9C,,,
HBAN,HUNTINGTON BANCSHARES,1068191,Bank Holding Company,Y9C,,,
RF,REGIONS FINANCIAL CORP,3242838,Bank Holding Company,Y9C,,,
NTRS,NORTHERN TRUST CORP,1199611,Bank Holding Company,Y9C,,,
DFS,DISCOVER FINANCIAL SVCS,3846375,Bank Holding Company,Y9C,,,
SBNY,SIGNATURE BANK,2942690,Commercial Bank,CALL,,,
FCNCA,FIRST CITIZENS BANCSH  -CL A,1075612,Bank Holding Company,Y9C,,,
SYF,SYNCHRONY FINANCIAL,4504654,Thrift Holding Company,Y9C,,,
NYCB,NEW YORK CMNTY BANCORP INC,2132932,Bank Holding Company,Y9C,,,
ZION,ZIONS BANCORPORATION NA,276579,National,CALL,,,
CMA,COMERICA INC,1199844,Bank Holding Company,Y9C,,,
FHN,FIRST HORIZON CORP,1094640,Bank Holding Company,Y9C,,,
WBS,WEBSTER FINANCIAL CORP,1145476,Thrift Holding Company,Y9C,,,
WAL,WESTERN ALLIANCE BANCORP,2349815,Bank Holding Company,Y9C,,,
EWBC,EAST WEST BANCORP INC,2734233,Bank Holding Company,Y9C,,,
SNV,SYNOVUS FINANCIAL CORP,1078846,Bank Holding Company,Y9C,,,
VLY,VALLEY NATIONAL BANCORP,1048773,Bank Holding Company,Y9C,,,
WTFC,WINTRUST FINANCIAL CORP,2260406,Bank Holding Company,Y9C,,,
CFR,CULLEN/FROST BANKERS INC,1102367,Bank Holding Company,Y9C,,,
CADE,CADENCE BANK,606046,Non Member Bank,CALL,,,
BOKF,BOK FINANCIAL CORP,1883693,Bank Holding Company,Y9C,,,
ONB,OLD NATIONAL BANCORP,1098303,Bank Holding Company,Y9C,,,
SSB,SOUTH STATE CORP,1133437,Bank Holding Company,Y9C,,,
FNB,F N B CORP/FL,3005332,Bank Holding Company,Y9C,,,
PNFP,PINNACLE FINL PARTNERS INC,2925657,Bank Holding Company,Y9C,,,
PACW,PACWEST BANCORP,2875332,Bank Holding Company,Y9C,,,
ASB,ASSOCIATED BANC-CORP,1199563,Bank Holding Company,Y9C,,,
UMBF,UMB FINANCIAL CORP,1049828,Bank Holding Company,Y9C,,,
PB,PROSPERITY BANCSHARES INC,1109599,Bank Holding Company,Y9C,,,
BKU,BANKUNITED INC,4028712,Thrift Holding Company,Y9C,,,
HWC,HANCOCK WHITNEY CORP,1086533,Bank Holding Company,Y9C,,,
UBSI,UNITED BANKSHARES INC/WV,1076217,Bank Holding Company,Y9C,,,
TCBI,TEXAS CAPITAL BANCSHARES INC,2706735,Bank Holding Company,Y9C,,,
OZK,BANK OZK,107244,Non Member Bank,CALL,,,
SFNC,SIMMONS FIRST NATL CP  -CL A,1094828,Bank Holding Company,Y9C,,,
FULT,FULTON FINANCIAL CORP,1117129,Bank Holding Company,Y9C,,,
GBCI,GLACIER BANCORP INC,2003975,Bank Holding Company,Y9C,,,
ABCB,AMERIS BANCORP,1082067,Bank Holding Company,Y9C,,,
BOH,BANK OF HAWAII CORP,1025309,Bank Holding Company,Y9C,,,
HOMB,HOME BANCSHARES INC,1491409,Bank Holding Company,Y9C,,,
CATY,CATHAY GENERAL BANCORP,1843080,Bank Holding Company,Y9C,,,
CUBI,CUSTOMERS BANCORP INC,4284536,Bank Holding Company,Y9C,,,
AUB,ATLANTIC UNION BANKSHRS CRP,1971693,Bank Holding Company,Y9C,,,
COLB,COLUMBIA BANKING SYSTEM INC,2078816,Bank Holding Company,Y9C,,,
HTLF,HEARTLAND FINANCIAL USA INC,1206546,Bank Holding Company,Y9C,,,
WSFS,WSFS FINANCIAL CORP,3844269,Thrift Holding Company,Y9C,,,
INDB,INDEPENDENT BANK CORP/MA,1136803,Bank Holding Company,Y9C,,,
HOPE,HOPE BANCORP INC,2961879,Bank Holding Company,Y9C,,,
FBP,FIRST BANCORP P R,2744894,Bank Holding Company,Y9C,,,
FRME,FIRST MERCHANTS CORP,1208559,Bank Holding Company,Y9C,,,
FFBC,FIRST FINL BANCORP INC/OH,1071276,Bank Holding Company,Y9C,,,
RNST,RENASANT CORP,1098844,Bank Holding Company,Y9C,,,
WSBC,WESBANCO INC,1070448,Bank Holding Company,Y9C,,,
CVBF,CVB FINANCIAL CORP,1029222,Bank Holding Company,Y9C,,,
TOWN,TOWNEBANK,2797724,Non Member Bank,CALL,,,
CBU,COMMUNITY BANK SYSTEM INC,1048867,Bank Holding Company,Y9C,,,
BANR,BANNER CORP,2126977,Bank Holding Company,Y9C,,,
IBOC,INTL BANCSHARES CORP,1104231,Bank Holding Company,Y9C,,,
NWBI,NORTHWEST BANCSHARES INC,4122722,Thrift Holding Company,Y9C,,,
SASR,SANDY SPRING BANCORP INC,1248304,Bank Holding Company,Y9C,,,
PFS,PROVIDENT FINANCIAL SVCS INC,3133637,Bank Holding Company,Y9C,,,
DCOM,DIME COMMUNITY BANCSHARES,1416523,Bank Holding Company,Y9C,,,
EFSC,ENTERPRISE FINL SERVICES CP,2303910,Bank Holding Company,Y9C,,,
FFIN,FIRST FINL BANKSHARES INC,1102312,Bank Holding Company,Y9C,,,
FBK,FB FINANCIAL CORP,1132104,Bank Holding Company,Y9C,,,
BANF,BANCFIRST CORP/OK,1133286,Bank Holding Company,Y9C,,,
BUSE,FIRST BUSEY CORP,1203602,Bank Holding Company,Y9C,,,
SBCF,SEACOAST BANKING CORP/FL,1085013,Bank Holding Company,Y9C,,,
NBTB,N B T BANCORP INC,1139279,Bank Holding Company,Y9C,,,
BHLB,BERKSHIRE HILLS BANCORP INC,2333663,Bank Holding Company,Y9C,,,
EGBN,EAGLE BANCORP INC/MD,2652104,Bank Holding Company,Y9C,,,
FBNC,FIRST BANCORP/NC,1076431,Bank Holding Company,Y9C,,,
CFFN,CAPITOL FEDERAL FINL INC,4226910,Thrift Holding Company,Y9C,,,
TCBK,TRICO BANCSHARES,1030170,Bank Holding Company,Y9C,,,
LOB,LIVE OAK BANCSHARES INC,3884863,Bank Holding Company,Y9C,,,
PRK,PARK NATIONAL CORP,1142336,Bank Holding Company,Y9C,,,
OFG,OFG BANCORP,2490575,Bank Holding Company,Y9C,,,
FCF,FIRST COMMONWLTH FINL CP/PA,1071306,Bank Holding Company,Y9C,,,
CNOB,CONNECTONE BANCORP INC,1048764,Bank Holding Company,Y9C,,,
NBHC,NATIONAL BANK HLDGS CORP,3973888,Bank Holding Company,Y9C,,,
BRKL,BROOKLINE BANCORP INC,2631510,Bank Holding Company,Y9C,,,
BANC,BANC OF CALIFORNIA INC,3153130,Thrift Holding Company,Y9C,,,
STBA,S & T BANCORP INC,1071397,Bank Holding Company,Y9C,,,
NIC,NICOLET BANKSHARES INC,3103603,Bank Holding Company,Y9C,,,
PFC,PREMIER FINANCIAL CORP,3316917,Thrift Holding Company,Y9C,,,
FFIC,FLUSHING FINANCIAL CORP,2393274,Thrift Holding Company,Y9C,,,
SRCE,1ST SOURCE CORP,1199602,Bank Holding Company,Y9C,,,
KRNY,KEARNY FINANCIAL CORP,3099443,Thrift Holding Company,Y9C,,,
QCRH,QCR HOLDINGS INC,2125813,Bank Holding Company,Y9C,,,
TBBK,BANCORP INC,2858951,Bank Holding Company,Y9C,,,
HBNC,HORIZON BANCORP INC,1209136,Bank Holding Company,Y9C,,,
TMP,TOMPKINS FINANCIAL CORP,2367921,Bank Holding Company,Y9C,,,
SBSI,SOUTHSIDE BANCSHARES INC,1245068,Bank Holding Company,Y9C,,,
SYBT,STOCK YARDS BANCORP INC,1249730,Bank Holding Company,Y9C,,,
CPF,CENTRAL PACIFIC FINANCIAL CP,1022764,Bank Holding Company,Y9C,,,
HAFC,HANMI FINANCIAL CORP,2900261,Bank Holding Company,Y9C,,,
BY,BYLINE BANCORP INC,1204627,Bank Holding Company,Y9C,,,
UVSP,UNIVEST FINANCIAL CORP,1116609,Bank Holding Company,Y9C,,,
PEBO,PEOPLES BANCORP INC/OH,1070578,Bank Holding Company,Y9C,,,
HFWA,HERITAGE FINANCIAL CORP,2166124,Bank Holding Company,Y9C,,,
WABC,WESTAMERICA BANCORPORATION,1025541,Bank Holding Company,Y9C,,,
FMBH,FIRST MID BANCSHARES INC,1206760,Bank Holding Company,Y9C,,,
WASH,WASHINGTON TR BANCORP INC,1115349,Bank Holding Company,Y9C,,,
CASH,PATHWARD FINANCIAL INC,2390013,Thrift Holding Company,Y9C,,,
MOFG,MIDWESTONE FINANCIAL GROUP,1245228,Bank Holding Company,Y9C,,,
FBMS,FIRST BANCSHARES INC/MS,2385493,Bank Holding Company,Y9C,,,
LKFN,LAKELAND FINANCIAL CORP,1208906,Bank Holding Company,Y9C,,,
PFBC,PREFERRED BANK LOS ANGELES,1918344,Non Member Bank,CALL,,,
MCB,METROPOLITAN BANK HLDNG,2820211,Bank Holding Company,Y9C,,,
GABC,GERMAN AMERICAN BANCORP INC,1098620,Bank Holding Company,Y9C,,,
TRST,TRUSTCO BANK CORP/NY,1048513,Thrift Holding Company,Y9C,,,
OSBC,OLD SECOND BANCORP INC/IL,1206911,Bank Holding Company,Y9C,,,
RBCAA,REPUBLIC BANCORP INC/KY,1097025,Bank Holding Company,Y9C,,,
FISI,FINANCIAL INSTITUTIONS INC,1032464,Bank Holding Company,Y9C,,,
GSBC,GREAT SOUTHERN BANCORP,2339133,Bank Holding Company,Y9C,,,
CAC,CAMDEN NATIONAL CORP,1130249,Bank Holding Company,Y9C,,,
NFBK,NORTHFIELD BANCORP INC,3132863,Thrift Holding Company,Y9C,,,
CCNE,CNB FINANCIAL CORP/PA,1118340,Bank Holding Company,Y9C,,,
CTBI,COMMUNITY TRUST BANCORP INC,1070644,Bank Holding Company,Y9C,,,
HTBK,HERITAGE COMMERCE CORP,2634874,Bank Holding Company,Y9C,,,
THFF,FIRST FINANCIAL CORP/IN,1208595,Bank Holding Company,Y9C,,,
IBCP,INDEPENDENT BANK CORP/MI,1201925,Bank Holding Company,Y9C,,,
MBWM,MERCANTILE BANK CORP,2608763,Bank Holding Company,Y9C,,,
INBK,FIRST INTERNET BANCORP,3393178,Bank Holding Company,Y9C,,,
CCBG,CAPITAL CITY BK GROUP INC,1085509,Bank Holding Company,Y9C,,,
MPB,MID PENN BANCORP INC,1944204,Bank Holding Company,Y9C,,,
EBTC,ENTERPRISE BANCORP INC/MA,2461016,Bank Holding Company,Y9C,,,
FLIC,FIRST LONG ISLAND CORP,1048894,Bank Holding Company,Y9C,,,
BMRC,BANK OF MARIN BANCORP,3590388,Bank Holding Company,Y9C,,,
FMNB,FARMERS NATL BANC CORP/OH,1071191,Bank Holding Company,Y9C,,,
AROW,ARROW FINANCIAL CORP,1048812,Bank Holding Company,Y9C,,,
SMMF,SUMMIT FINANCIAL GROUP INC,1247679,Bank Holding Company,Y9C,,,
BHB,BAR HARBOR BANKSHARES,1115385,Bank Holding Company,Y9C,,,
SFST,SOUTHERN FIRST BANKSHARES,2849799,Bank Holding Company,Y9C,,,
WTBA,WEST BANCORPORATION INC,1210066,Bank Holding Company,Y9C,,,
BSRR,SIERRA BANCORP/CA,2976396,Bank Holding Company,Y9C,,,
CIVB,CIVISTA BANCSHARES INC,1246533,Bank Holding Company,Y9C,,,
SMBC,SOUTHERN MISSOURI BANCP INC,3266227,Bank Holding Company,Y9C,,,
FCBC,FIRST CMNTY BANCSHARES INC,1478017,Bank Holding Company,Y9C,,,
AMNB,AMERICAN NATL BANKSHARES,1076691,Bank Holding Company,Y9C,,,
FBIZ,FIRST BUSINESS FINL SRV INC,1247428,Bank Holding Company,Y9C,,,
ORRF,ORRSTOWN FINANCIAL SVCS INC,1248153,Bank Holding Company,Y9C,,,
ISTR,INVESTAR HOLDING CORP,4090054,Bank Holding Company,Y9C,,,
FRBA,FIRST BANK,3401970,Non Member Bank,CALL,,,
WSBF,WATERSTONE FINANCIAL INC,4523431,Thrift Holding Company,Y9C,,,
HWBK,HAWTHORN BANCSHARES INC,2038409,Bank Holding Company,Y9C,,,
FUNC,FIRST UNITED CORP,1132672,Bank Holding Company,Y9C,,,
PEBK,PEOPLES BANCORP NC INC,2818245,Bank Holding Company,Y9C,,,
LARK,LANDMARK BANCORP INC/KS,3030307,Bank Holding Company,Y9C,,,
SSBI,SUMMIT STATE BANK,561574,FSB,CALL,,,
CARV,CARVER BANCORP INC,2531245,Thrift Holding Company,Y9C,,,
