rssd9001,wrdsreportdate,rcon5597,rcon1754,rcon1773,rcon1771,rcon1772,rcon2170,rcon3210
107244,2022-12-31,8197098.0,0,3491613,0,3725269,27656568.0,4689579
107244,2022-12-31,8197098.0,0,3491613,0,3725269,27656568.0,4689579
107244,2022-12-31,8694975.0,0,3491613,0,3725269,27656568.0,4689579
107244,2022-12-31,8694975.0,0,3491613,0,3725269,27656568.0,4689579
276579,2022-12-31,37633835.0,11125459,11914977,11238585,13538167,89544919.0,4893499
276579,2022-12-31,37633835.0,11125459,11914977,11238585,13538167,89544919.0,4893499
276579,2022-12-31,38429574.0,11125459,11914977,11238585,13538167,89544919.0,4893499
276579,2022-12-31,38429574.0,11125459,11914977,11238585,13538167,89544919.0,4893499
561574,2022-12-31,,0,83785,0,98017,1115484.0,88546
561574,2022-12-31,,0,83785,0,98017,1115484.0,88546
561574,2022-12-31,,0,83785,0,98017,1115484.0,88546
561574,2022-12-31,,0,83785,0,98017,1115484.0,88546
606046,2022-12-31,19431472.0,0,11944096,0,13480900,48668073.0,4311374
606046,2022-12-31,19431472.0,0,11944096,0,13480900,48668073.0,4311374
606046,2022-12-31,18481401.0,0,11944096,0,13480900,48668073.0,4311374
606046,2022-12-31,18481401.0,0,11944096,0,13480900,48668073.0,4311374
1918344,2022-12-31,4449015.0,22459,428295,20518,468052,6425969.0,630426
2797724,2022-12-31,7380062.0,548474,1840903,518992,2033041,15845722.0,1873961
2797724,2022-12-31,7380062.0,548474,1840903,518992,2033041,15845722.0,1873961
2797724,2022-12-31,6922567.0,548474,1840903,518992,2033041,15845722.0,1873961
2797724,2022-12-31,6922567.0,548474,1840903,518992,2033041,15845722.0,1873961
2942690,2022-12-31,79458961.0,7780398,18372419,7018201,20826240,110363650.0,8013101
3401970,2022-12-31,989319.0,47193,98956,42465,108783,2732940.0,289562
4114567,2022-12-31,119470758.0,,,,,,
