dv,x,sample,spearman_rho,p
"CAR[-1,+1]",Award/Mktcap,all (N=15),0.36785714285714277,0.17734214689349131
"CAR[-1,+1]",Award/Mktcap,drop confound (N=14),0.44175824175824174,0.11377750302872344
"CAR[-1,+1]",Award/Mktcap,drop Wolfspeed (N=14),0.221978021978022,0.445629657953609
"CAR[-1,+1]",ln(Award),all (N=15),-0.18214285714285713,0.5158816817070393
"CAR[-1,+1]",ln(Award),drop confound (N=14),-0.2175824175824176,0.45491937317003306
"CAR[-1,+1]",ln(Award),drop Wolfspeed (N=14),-0.3010989010989011,0.2955144656072167
"CAR[0,+3]",Award/Mktcap,all (N=15),0.3285714285714285,0.23180969720615965
"CAR[0,+3]",Award/Mktcap,drop confound (N=14),0.39780219780219783,0.1589507745108346
"CAR[0,+3]",Award/Mktcap,drop Wolfspeed (N=14),0.17362637362637365,0.5527669411422413
"CAR[0,+3]",ln(Award),all (N=15),0.175,0.5327481481378592
"CAR[0,+3]",ln(Award),drop confound (N=14),0.2,0.49300373504
"CAR[0,+3]",ln(Award),drop Wolfspeed (N=14),0.1076923076923077,0.7140308087262492
