ticker,company,announce_date,award_usd_m,mktcap_m,award_pct_mktcap,beta,car_m1_1,car_0_3,confound,adr
WOLF,Wolfspeed,2024-10-15,750.0,1443.76922,51.94736039600567,3.179508170027542,0.3579445130190778,0.3901569502867901,0,0
INFN,Infinera,2024-10-17,93.0,1592.63504,5.839379246610071,1.811181211887549,0.0049470557889768,-0.0014288533046467,0,0
GFS,GlobalFoundries,2024-02-19,1500.0,29548.392240000005,5.076418330366661,1.732896758517399,0.00708004290653,-0.0193447632807755,0,0
MU,Micron Technology,2024-04-25,6140.0,123781.59504,4.960349717594009,1.2927386511666632,0.0132645271979101,0.0179079140842589,0,0
INTC,Intel,2024-03-20,8500.0,179001.4676,4.748564419032729,1.414735419640883,-0.0373303503234267,-0.0228276334979167,0,0
TSM,Taiwan Semiconductor (TSMC),2024-04-08,6600.0,150979.68936,4.371448920035055,1.421634060238745,0.0228253429550234,0.0436290517142629,0,1
AMKR,Amkor Technology,2024-07-26,407.0,9407.13202,4.326504604535145,1.9658867816125225,-0.0493315507245642,-0.1739824898517548,1,0
SKYT,SkyWater Technology,2024-12-06,16.0,393.162,4.069569286960592,3.534594141956229,0.1463911472377108,0.1214515251006047,0,0
RKLB,Rocket Lab (SolAero),2024-06-11,23.9,2247.0768,1.0636040566125733,2.2202549108728755,0.0231118945927857,-0.0441230392475181,0,0
TXN,Texas Instruments,2024-08-16,1600.0,184371.36964954,0.8678136974527769,1.261747318286556,-0.0098979174516319,0.0137897226902386,0,0
COHR,Coherent,2024-12-06,112.0,16805.79024,0.6664369744031746,2.4758490990429225,-0.0628239620683231,-0.0510320256409114,0,0
ENTG,Entegris,2024-06-26,77.0,20287.41963209,0.3795455577712003,2.102470546141138,0.0145534091689581,-0.0085865425556668,0,0
MCHP,Microchip Technology,2024-01-04,162.0,45700.61316,0.354481020709351,1.6181927386699466,-0.0116253402383971,-0.0071641041609729,0,0
HPQ,HP Inc,2024-08-27,53.0,34807.3792,0.1522665630625818,0.7453737387856452,-0.0202967095820517,0.0123537219891231,0,0
GLW,Corning,2024-11-08,32.0,41261.90222,0.0775533804267737,0.879782798382657,-0.0021969428297105,-0.0276639844282397,0,0
