ticker,exch,siccd,ai_flagged_eligible,eligible_verified,phasein_date,source_url,notes
INTC,Q,3674,1,,,,
OPEN,Q,6531,1,,,,
XOM,N,1311,1,,,,
IONQ,N,6799,1,,,,
RGTI,Q,6799,1,,,,
BAC,N,6029,1,,,,
UBER,N,7389,1,,,,
SOFI,Q,6799,1,,,,
WMT,N,5311,1,,,,
JNJ,N,3841,1,,,,
HIMS,N,2834,1,,,,
IREN,Q,1711,1,,,,
WBD,Q,4841,1,,,,
ANET,N,3577,1,,,,
C,N,6021,1,,,,
PFE,N,2834,1,,,,
CSCO,Q,3577,1,,,,
KO,N,2087,1,,,,
QBTS,N,6799,1,,,,
CVX,N,2911,1,,,,
SMCI,Q,3571,1,,,,
MARA,Q,6794,1,,,,
APH,N,3678,1,,,,
WFC,N,6021,1,,,,
SOUN,Q,7372,1,,,,
PG,N,2844,1,,,,
SNAP,N,7371,1,,,,
AAL,Q,4512,1,,,,
BSX,N,3841,1,,,,
MRK,N,2834,1,,,,
NKE,N,3021,1,,,,
DIS,N,7996,1,,,,
NEM,N,1041,1,,,,
FCX,N,1021,1,,,,
PM,N,2111,1,,,,
SCHW,N,6211,1,,,,
TTD,Q,7311,1,,,,
B,N,1041,1,,,,
T,N,4812,1,,,,
PYPL,Q,7389,1,,,,
CMG,N,5812,1,,,,
TGT,N,5331,1,,,,
CMCSA,Q,4841,1,,,,
VZ,N,4813,1,,,,
GLW,N,3229,1,,,,
RIVN,Q,6719,1,,,,
KVUE,N,2844,1,,,,
UPS,N,4215,1,,,,
NEE,N,4911,1,,,,
RIOT,Q,7374,1,,,,
NU,N,7389,1,,,,
F,N,3711,1,,,,
MDT,N,3842,1,,,,
COP,N,1382,1,,,,
BMY,N,2834,1,,,,
QUBT,Q,5149,1,,,,
SLB,N,5651,1,,,,
HPE,N,7372,1,,,,
KDP,Q,2086,1,,,,
BBAI,N,7372,1,,,,
JOBY,N,3721,1,,,,
CPNG,N,5961,1,,,,
CIFR,Q,7374,1,,,,
KR,N,5411,1,,,,
KEY,N,6021,1,,,,
APLD,Q,7372,1,,,,
MO,N,2111,1,,,,
DLTR,Q,5331,1,,,,
LYFT,Q,4119,1,,,,
FTNT,Q,3577,1,,,,
ORLY,Q,5531,1,,,,
RF,N,6022,1,,,,
CSX,Q,4011,1,,,,
RKT,N,6162,1,,,,
EBAY,Q,5961,1,,,,
TSLA,Q,3711,0,,,,
AAPL,Q,3663,0,,,,
ORCL,N,7379,0,,,,
AMZN,Q,5961,0,,,,
AVGO,Q,3674,0,,,,
MSFT,Q,7372,0,,,,
PLTR,Q,7372,0,,,,
GOOGL,Q,7371,0,,,,
META,Q,7375,0,,,,
APP,Q,7311,0,,,,
GOOG,Q,7371,0,,,,
HOOD,Q,6211,0,,,,
UNH,N,6324,0,,,,
MU,Q,3674,0,,,,
CRWV,Q,5734,0,,,,
MSTR,Q,7372,0,,,,
NFLX,Q,4841,0,,,,
COIN,Q,6099,0,,,,
JPM,N,6021,0,,,,
LLY,N,2834,0,,,,
CRM,N,7372,0,,,,
BMNR,A,7699,0,,,,
OKLO,N,6799,0,,,,
COST,Q,5331,0,,,,
SNPS,Q,7372,0,,,,
V,N,7389,0,,,,
NBIS,Q,7372,0,,,,
BRK,N,6331,0,,,,
ADBE,Q,7372,0,,,,
BA,N,3721,0,,,,
GEV,N,4911,0,,,,
AMAT,Q,3559,0,,,,
HD,N,5211,0,,,,
MA,N,7389,0,,,,
CRWD,Q,7372,0,,,,
ACN,N,8742,0,,,,
CRCL,N,7389,0,,,,
ALAB,Q,3674,0,,,,
ASML,Q,3559,0,,,,
RDDT,N,2741,0,,,,
IBM,N,3571,0,,,,
INTU,Q,7372,0,,,,
LRCX,Q,3674,0,,,,
LULU,Q,5699,0,,,,
GS,N,6211,0,,,,
TXN,Q,3674,0,,,,
NOW,N,7379,0,,,,
GE,N,3511,0,,,,
CAT,N,3531,0,,,,
ABBV,N,2834,0,,,,
ISRG,Q,3842,0,,,,
QCOM,Q,3663,0,,,,
BKNG,Q,4724,0,,,,
SNOW,N,7371,0,,,,
PANW,Q,3577,0,,,,
UNP,N,4011,0,,,,
TMO,N,3829,0,,,,
SPOT,N,4832,0,,,,
WDC,Q,3572,0,,,,
SHOP,Q,7374,0,,,,
HON,Q,3724,0,,,,
TMUS,Q,4812,0,,,,
VST,N,4911,0,,,,
VRT,N,3679,0,,,,
CVNA,N,5521,0,,,,
RBLX,N,7389,0,,,,
MELI,Q,5961,0,,,,
CRDO,Q,3674,0,,,,
MCD,N,5812,0,,,,
AXP,N,6141,0,,,,
KLAC,Q,3827,0,,,,
STX,Q,7379,0,,,,
MP,N,1081,0,,,,
WDAY,Q,7371,0,,,,
ETN,N,8742,0,,,,
