rel_day,mean_ar,n,cum_ar
-10,-0.0021629934667082686,579,-0.0021629934667082686
-9,0.0025093270480444243,578,0.00034633358133615575
-8,-0.0006330396150291376,578,-0.00028670603369298185
-7,-0.0011513950336457398,578,-0.0014381010673387216
-6,-0.0019208820112599358,576,-0.0033589830785986574
-5,0.0006517808793094215,575,-0.002707202199289236
-4,0.004806479168942563,574,0.002099276969653327
-3,-0.001776421170077979,574,0.0003228557995753479
-2,-0.002101459240112764,574,-0.001778603440537416
-1,0.004433725924420293,573,0.0026551224838828776
0,-0.001653356689596036,571,0.0010017657942868415
1,-0.0072088916358017995,569,-0.0062071258415149575
2,-0.004321888287997365,569,-0.010529014129512322
3,-0.0035431954468101044,568,-0.014072209576322426
4,-0.0012049222476479581,568,-0.015277131823970384
5,0.001969265989640947,568,-0.013307865834329437
6,-0.006663354075320747,568,-0.019971219909650183
7,-0.0025586928216124695,565,-0.022529912731262654
8,0.00929078775102243,563,-0.013239124980240224
9,0.0002503587396414081,561,-0.012988766240598816
10,-0.001030220693285113,559,-0.01401898693388393
