state,company_raw,notice_date,n_employees,city,layoff_type,source
AZ,"Rise Services, Inc.",2023-07-18,,Mesa,Permanent closure,warn_or.json
CA,"Teva Parental Medicines, Inc.",2022-03-22,305.0,,Closure Permanent,ca_2022_23.pdf
CA,"ARS-Fresno, LLC.",2022-03-30,163.0,Carlsbad,Large Layoff - 10 or more workers,warn_or.json
CA,Superior Studio Specialties,2022-04-15,4.0,,Closure Permanent,ca_2022_23.pdf
CA,"The Permanente Federation dba Permanente
Advantage LLC",2022-05-11,19.0,,Layoff Permanent,ca_2022_23.pdf
CA,Pennymac,2022-05-19,30.0,,Layoff Permanent,ca_2022_23.pdf
CA,Pennymac,2022-05-19,2.0,,Layoff Permanent,ca_2022_23.pdf
CA,B&H Flowers,2022-06-01,80.0,,Closure Permanent,ca_2022_23.pdf
CA,Amgen,2022-06-15,2.0,,Closure Permanent,ca_2022_23.pdf
CA,PAE Shared Services LLC dba Amentum,2022-06-15,37.0,,Layoff Permanent,ca_2022_23.pdf
CA,PAE Shared Services LLC dba Amentum,2022-06-15,25.0,,Layoff Permanent,ca_2022_23.pdf
CA,PAE Shared Services LLC dba Amentum,2022-06-15,68.0,,Layoff Permanent,ca_2022_23.pdf
CA,"R.A. Phillips Industries, Inc.",2022-06-20,211.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cue Health Inc.,2022-06-23,9.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cue Health Inc.,2022-06-23,123.0,,Layoff Permanent,ca_2022_23.pdf
CA,Cue Health,2022-06-23,37.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Assembled Financial Technology, LLC",2022-06-24,13.0,,Closure Permanent,ca_2022_23.pdf
CA,"DailyLook, Inc.",2022-06-27,80.0,,Layoff Permanent,ca_2022_23.pdf
CA,AppLovin Corporation,2022-06-27,62.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Tesla, Inc.",2022-06-27,20.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Tesla, Inc.",2022-06-27,5.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Tesla, Inc.",2022-06-27,2.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Tesla, Inc.",2022-06-27,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Tesla, Inc.",2022-06-27,41.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Tesla, Inc.",2022-06-29,229.0,,Closure Permanent,ca_2022_23.pdf
CA,"Heron Therapeutics, Inc.",2022-06-29,77.0,,Layoff Permanent,ca_2022_23.pdf
CA,PACT Pharma,2022-06-30,94.0,,Layoff Permanent,ca_2022_23.pdf
CA,"ABM Industry Groups, LLC dba Meta",2022-07-01,368.0,,Layoff Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,4.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,10.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,1.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,9.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,6.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,18.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,76.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,1.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,27.0,,Closure Permanent,ca_2022_23.pdf
CA,"JSL Transport, LLC",2022-07-01,2.0,,Closure Permanent,ca_2022_23.pdf
CA,First Student,2022-07-01,105.0,,Layoff Permanent,ca_2022_23.pdf
CA,First Student,2022-07-01,71.0,,Layoff Permanent,ca_2022_23.pdf
CA,First Student,2022-07-01,176.0,,Layoff Permanent,ca_2022_23.pdf
CA,First Student,2022-07-05,54.0,,Layoff Permanent,ca_2022_23.pdf
CA,Maxar Space LLC,2022-07-06,125.0,,Layoff Permanent,ca_2022_23.pdf
CA,Texana Bank,2022-07-07,58.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Voxpro Group, LLC",2022-07-07,180.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Anheuser-Busch, LLC",2022-07-07,142.0,,Closure Permanent,ca_2022_23.pdf
CA,"Adverum Biotechnologies, Inc.",2022-07-07,27.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Adverum Biotechnologies, Inc.",2022-07-07,51.0,,Layoff Permanent,ca_2022_23.pdf
CA,Scotts Temecula Operations LLC,2022-07-11,55.0,,Layoff Permanent,ca_2022_23.pdf
CA,Performance Team,2022-07-11,153.0,,Closure Permanent,ca_2022_23.pdf
CA,North Bay Health,2022-07-11,99.0,,Layoff Permanent,ca_2022_23.pdf
CA,North Bay Health,2022-07-11,60.0,,Layoff Permanent,ca_2022_23.pdf
CA,North Bay Health,2022-07-11,4.0,,Layoff Permanent,ca_2022_23.pdf
CA,North Bay Health,2022-07-11,26.0,,Layoff Permanent,ca_2022_23.pdf
CA,"ADP, Inc.",2022-07-12,12.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Freshly, Inc.",2022-07-12,104.0,,Closure Permanent,ca_2022_23.pdf
CA,Life Cycle Engineering,2022-07-13,69.0,,Layoff Permanent,ca_2022_23.pdf
CA,CytomX Therapeutics Inc.,2022-07-13,66.0,,"Layoff Not known at
this time",ca_2022_23.pdf
CA,"Tonal Systems, Inc.",2022-07-13,80.0,,Layoff Permanent,ca_2022_23.pdf
CA,Urbn Leaf dba Uprooted Inc.,2022-07-14,58.0,,Layoff Permanent,ca_2022_23.pdf
CA,OnePointOne Inc.,2022-07-14,14.0,,Closure Permanent,ca_2022_23.pdf
CA,Gardena Honda,2022-07-15,90.0,,Closure Permanent,ca_2022_23.pdf
CA,Invitae Corporation,2022-07-18,48.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Imperfect Foods, Inc.",2022-07-18,50.0,,Layoff Permanent,ca_2022_23.pdf
CA,Invitae Corporation,2022-07-18,736.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Amy&rsquo;s Kitchen, Inc.",2022-07-19,331.0,,Closure Permanent,ca_2022_23.pdf
CA,Data Aire Inc.,2022-07-20,85.0,,Closure Permanent,ca_2022_23.pdf
CA,Restoration Hardware Inc.,2022-07-20,55.0,,Layoff Permanent,ca_2022_23.pdf
CA,"RingCentral, Inc.",2022-07-20,25.0,,Layoff Permanent,ca_2022_23.pdf
CA,"RingCentral, Inc.",2022-07-20,25.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Rise Baking Company dba Brill, Inc.",2022-07-21,78.0,,Layoff Permanent,ca_2022_23.pdf
CA,King&rsquo;s Fish House,2022-07-21,74.0,,Closure Temporary,ca_2022_23.pdf
CA,Adventist Health,2022-07-22,52.0,,Layoff Permanent,ca_2022_23.pdf
CA,Schneider Electric,2022-07-25,9.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Brinker International Payroll Company, L.P.",2022-07-25,133.0,,Closure Permanent,ca_2022_23.pdf
CA,Zymergen Inc.,2022-07-26,74.0,,Layoff Permanent,ca_2022_23.pdf
CA,Inland SoCal United Way,2022-07-27,136.0,,Layoff Permanent,ca_2022_23.pdf
