notice_date,company_raw,county,n_employees,layoff_type,city,source,state
2022-06-15,Amgen,Alameda County,2.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-06-24,"Assembled Financial Technology, LLC",Los Angeles County,13.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-06-23,Cue Health Inc.,San Diego County,9.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-23,Cue Health Inc.,San Diego County,123.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-23,Cue Health,San Diego County,37.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-15,PAE Shared Services LLC dba Amentum,Los Angeles County,37.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-27,"DailyLook, Inc.",Los Angeles County,80.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-29,"Tesla, Inc.",San Mateo County,229.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-07-01,"ABM Industry Groups, LLC dba Meta",San Mateo County,368.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-27,AppLovin Corporation,Santa Clara County,62.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-15,PAE Shared Services LLC dba Amentum,San Diego County,25.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-15,PAE Shared Services LLC dba Amentum,San Diego County,68.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-29,"Heron Therapeutics, Inc.",San Diego County,77.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-27,"Tesla, Inc.",Alameda County,20.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-27,"Tesla, Inc.",Alameda County,5.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-27,"Tesla, Inc.",Alameda County,2.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-27,"Tesla, Inc.",Alameda County,1.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-06-27,"Tesla, Inc.",Alameda County,41.0,Layoff Permanent,,ca_2022_23.pdf,CA
