state,company_raw,notice_date,n_employees,city,county,layoff_type,source
OR,Coburg Facility,2026-05-13,83.0,Coburg,,Permanent closure,warn_or.json
OR,"Prineville, OR Facility",2026-04-29,66.0,Prineville,,Large Layoff - 10 or more workers,warn_or.json
OR,Troutdale Facility,2026-04-02,65.0,Troutdale,,Large Layoff - 10 or more workers,warn_or.json
OR,Sunstone Way,2026-03-27,175.0,Portland,,Permanent closure,warn_or.json
OR,Direct Marketing Solutions,2026-04-06,53.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Sumner St - Portland,2026-04-06,53.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Horizon Air - Rogue Valley Internationa,2026-03-26,78.0,Medford,,Large Layoff - 10 or more workers,warn_or.json
OR,Oregon - Remote Employees,2026-02-13,2.0,,,Reduction,warn_or.json
OR,Albany/Millersburg,2026-02-13,1.0,Albany,,Reduction,warn_or.json
OR,Riddle Plywood facility,2026-02-04,146.0,Riddle,,Large Layoff - 10 or more workers,warn_or.json
OR,Kroger-00255,2026-01-29,4.0,Portland,,Permanent closure,warn_or.json
OR,Kroger-00040,2026-01-29,4.0,Portland,,Permanent closure,warn_or.json
OR,Kroger-00075-Prime,2026-01-29,4.0,Portland,,Permanent closure,warn_or.json
OR,Kroger-00063,2026-01-29,4.0,Clackamas,,Permanent closure,warn_or.json
OR,Kroger-00127-Prime,2026-01-29,4.0,Powell Valley,,Permanent closure,warn_or.json
OR,Kroger-00153,2026-01-29,4.0,Happy Valley,,Permanent closure,warn_or.json
OR,Kroger-00128-Prime,2026-01-29,4.0,Portland,,Permanent closure,warn_or.json
OR,Kroger-00035,2026-01-29,3.0,Beaverton,,Permanent closure,warn_or.json
OR,Kroger-00360-Prime,2026-01-29,4.0,Portland,,Permanent closure,warn_or.json
OR,Kroger-00135,2026-01-29,4.0,Portland,,Permanent closure,warn_or.json
OR,Kroger-00125-Prime,2026-01-29,4.0,North Tabor,,Permanent closure,warn_or.json
OR,Kroger-00090,2026-01-29,4.0,Salem,,Permanent closure,warn_or.json
OR,Kroger-00150-Prime,2026-01-29,4.0,Portland,,Permanent closure,warn_or.json
OR,Kroger-00240,2026-01-29,4.0,Milwaukie,,Permanent closure,warn_or.json
OR,Kroger-00600-Prime,2026-01-29,4.0,Portland,,Permanent closure,warn_or.json
OR,"Lincare-Brookings, OR",2026-01-29,3.0,Brookings,,Permanent closure,warn_or.json
OR,Kroger-00516,2026-01-29,3.0,Wilsonville,,Permanent closure,warn_or.json
OR,Kroger-00417,2026-01-29,3.0,Eugene,,Permanent closure,warn_or.json
OR,Kroger-00660,2026-01-29,3.0,Wood Village,,Permanent closure,warn_or.json
OR,Eugene Location,2026-01-29,39.0,Eugene,,Permanent closure,warn_or.json
OR,Bend Location,2026-01-29,26.0,Bend,,Permanent closure,warn_or.json
OR,"Three Pirates, LLC dba Point Blank Dist",2026-01-29,112.0,Portland,,Permanent closure,warn_or.json
OR,Oregon - Remote Employees,2026-01-08,1.0,,,Permanent closure,warn_or.json
OR,Vacuum Technique LLC,2025-12-29,78.0,Clackamas,,Permanent closure,warn_or.json
OR,"Solgen Power, LLC dba Purelight Power",2025-12-23,71.0,Medford,,Permanent closure,warn_or.json
OR,Administrative Office,2025-12-23,13.0,Medford,,Permanent closure,warn_or.json
OR,Oregon - Remote Employees,2025-12-23,25.0,,,Permanent closure,warn_or.json
OR,Wells Fargo and Company - 5th Ave. Port,2025-12-09,3.0,Portland,,Reduction,warn_or.json
OR,Nordstrom Portland Rack,2025-12-01,37.0,Portland,,Permanent closure,warn_or.json
OR,Vibra Specialty Hospital of Portland,2025-12-01,310.0,Portland,,Permanent closure,warn_or.json
OR,Oregon - Remote Employees,2025-11-20,1.0,,,Reduction,warn_or.json
OR,Aloha Facility,2025-11-13,41.0,Aloha,,Large Layoff - 10 or more workers,warn_or.json
OR,"Century Blvd., Hillsboro",2025-11-13,510.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,"25th Ave., Hillsboro",2025-11-13,76.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,"Elam Young Pkwy., Hillsboro",2025-11-13,42.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,Pacific Source - Bend,2025-10-24,52.0,Bend,,Reduction,warn_or.json
OR,Pacific Source - Medford,2025-10-24,1.0,Medford,,Reduction,warn_or.json
OR,Pacific Source - Portland,2025-10-24,38.0,Portland,,Reduction,warn_or.json
OR,Pacific Source,2025-10-24,153.0,Springfield,,Large Layoff - 10 or more workers,warn_or.json
OR,Pacific Source - Salem,2025-10-24,21.0,Salem,,Reduction,warn_or.json
OR,Wells Fargo and Company - 5th Ave. Port,2025-10-28,34.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Wells Fargo and Company - Hawthorne Ave,2025-10-28,147.0,Salem,,Large Layoff - 10 or more workers,warn_or.json
OR,Wells Fargo and Company - Walker Rd. Hi,2025-10-28,2.0,Hillsboro,,Reduction,warn_or.json
OR,Wells Fargo and Company - Walker Rd. Hi,2025-10-28,263.0,Hillsboro,,Permanent closure,warn_or.json
OR,Oregon - Remote Employees,2025-10-03,1.0,,,Small Layoff  1 – 10 workers,warn_or.json
OR,Pacific Source,2025-09-17,56.0,Springfield,,Large Layoff - 10 or more workers,warn_or.json
OR,"Bags, A Metropolis Company - Portland",2025-10-13,157.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Wells Fargo Center - Portland,2025-09-30,50.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Dillard Hardwood Plywood Facility,2025-09-25,7.0,Dillard,,Permanent closure,warn_or.json
OR,Dillard Hardwood Plywood Facility,2025-09-25,100.0,Dillard,,Large Layoff - 10 or more workers,warn_or.json
OR,Hillsboro Facility,2025-09-16,128.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,Oregon - Remote Employees,2025-09-16,1.0,,,Small Layoff  1 – 10 workers,warn_or.json
OR,Nike World Headquarters,2025-09-15,69.0,Beaverton,,Large Layoff - 10 or more workers,warn_or.json
