state,company_raw,notice_date,n_employees,city,county,layoff_type,source
TX,Nestle USA,2019-01-04,42.0,Fort Worth,Tarrant,,warn_tx.json
TX,Nestle USA,2019-01-04,42.0,Fort Worth,Tarrant,,warn_tx.json
TX,Pier 1 Imports-Mansfield,2019-01-07,65.0,Mansfield,Tarrant,,warn_tx.json
TX,Pier 1 Imports-Mansfield,2019-01-07,65.0,Mansfield,Tarrant,,warn_tx.json
TX,R1 RCM Inc.,2019-01-09,65.0,Austin,Travis,,warn_tx.json
TX,R1 RCM Inc.,2019-01-09,65.0,Austin,Travis,,warn_tx.json
TX,Chariot Transit Inc.,2019-01-10,79.0,Austin,Travis,,warn_tx.json
TX,Kohl's-Dallas,2019-01-11,330.0,Dallas,Dallas,,warn_tx.json
TX,Kohl's-Dallas,2019-01-11,330.0,Dallas,Dallas,,warn_tx.json
TX,AllianceOne Receivables Management,2019-01-15,236.0,Dallas,Dallas,,warn_tx.json
TX,AllianceOne Receivables Management,2019-01-15,236.0,Dallas,Dallas,,warn_tx.json
TX,Sears Fashion Distribution Center2,2019-01-18,84.0,Garland,Dallas,,warn_tx.json
TX,"Sodexo, Inc.-AA Admirals Club",2019-01-18,98.0,DFW Airport,Tarrant,,warn_tx.json
TX,Boeing Company,2019-01-29,6.0,Houston,Harris,,warn_tx.json
TX,Children's Health System of Texas,2019-01-31,93.0,Dallas,Dallas,,warn_tx.json
TX,Blue Apron- Arlington,2019-01-31,206.0,Arlington,Tarrant,,warn_tx.json
TX,Kimberly Clark-Holeman Distribution,2019-01-31,126.0,Paris,Lamar,,warn_tx.json
TX,Yodle.com- Yodle Web.com,2019-02-01,155.0,Austin,Travis,,warn_tx.json
TX,"Penske Logistics, LLC - Midland",2019-02-04,65.0,Midland,Midland,,warn_tx.json
TX,"KCI USA, Inc.",2019-02-06,210.0,San Antonio,Bexar,,warn_tx.json
TX,"Alta Mesa Services, LP",2019-02-08,58.0,Houston,Harris,,warn_tx.json
TX,VF Jeanswear - El Paso5,2019-02-11,25.0,El Paso,El Paso,,warn_tx.json
TX,Post Acute Specialty Hospital of Corpus Christi,2019-02-11,162.0,Corpus Ch,Nueces,,warn_tx.json
TX,Rosenberger N.A.,2019-02-13,74.0,Plano,Collin,,warn_tx.json
TX,Spectrum Pharmaceuticals,2019-02-13,1.0,Colleyville,Tarrant,,warn_tx.json
TX,Encana Service Company,2019-02-18,274.0,The Woodlands,Montgomery,,warn_tx.json
TX,Post Acute Specialty Hospital-PAM Sepcialty Hosptial,2019-02-25,65.0,Corpus Ch,Nueces,,warn_tx.json
TX,"AmerisourceBergen-H.D. Smith, LLC",2019-02-25,17.0,Flower Mound,Denton,,warn_tx.json
TX,Payless Shoesource-Dallas Corp. Office,2019-02-25,75.0,Dallas,Dallas,,warn_tx.json
TX,Petroleum Service Corp.,2019-02-27,151.0,Mont Belvieu,Chambers,,warn_tx.json
TX,"Natera, Inc.",2019-03-01,92.0,Austin,Travis,,warn_tx.json
TX,Magni-Fab Southwest,2019-03-01,5.0,Howe,Grayson,,warn_tx.json
TX,Monogram Foods-Monogram Pet Treats,2019-03-04,65.0,Schulenburg,Fayette,,warn_tx.json
TX,Magni-Fab,2019-03-04,24.0,Howe,Grayson,,warn_tx.json
TX,CHI St. Joseph Health- Bellville Hospital,2019-03-05,45.0,Bellville,Austin,,warn_tx.json
TX,"Verizon Connect, Inc.",2019-03-07,133.0,Austin,Travis,,warn_tx.json
TX,"Aprima Medical Software, Inc. an eMD's Co.",2019-03-07,149.0,Richardson,Dallas,,warn_tx.json
TX,General Inoformation Services dba HireRight,2019-03-07,76.0,Dallas,Dallas,,warn_tx.json
TX,Cypress Fairbanks Medical Center,2019-03-18,586.0,Houston,Harris,,warn_tx.json
TX,JP Morgan Chase & Co-Consumer Banking & Card,2019-03-18,368.0,Arlington,Tarrant,,warn_tx.json
TX,Signet Jewelers-Dallas,2019-03-25,122.0,Dallas,Dallas,,warn_tx.json
TX,Avella Specialty Pharmacy,2019-03-26,161.0,Houston,Harris,,warn_tx.json
TX,Avella Specialty Pharmacy-Bissonet,2019-03-26,1.0,Houston,Harris,,warn_tx.json
TX,Hart-Hanks-Texarkana,2019-03-28,73.0,Texarkana,Bowie,,warn_tx.json
TX,"Teleperformance USA-FHCS, Inc.",2019-03-28,390.0,Dallas,Dallas,,warn_tx.json
TX,Yodle.com- Yodle Web.com,2019-03-29,10.0,Austin,Travis,,warn_tx.json
TX,"Legacy Measurement Solutions, Inc.",2019-03-29,59.0,Tyler,Smith,,warn_tx.json
TX,Signet Jewelers-Rombaur Rd.,2019-04-01,58.0,Dallas,Dallas,,warn_tx.json
TX,Ware Industries dba Marino Ware-Norbet Trucking,2019-04-02,69.0,Pasadena,Harris,,warn_tx.json
TX,Walmart #949,2019-04-03,415.0,Dallas,Dallas,,warn_tx.json
TX,La Torretta Lake Resort,2019-04-04,241.0,Montgomery,Montgomery,,warn_tx.json
TX,Sitel-Amarillo,2019-04-04,327.0,Amarillo,Potter,,warn_tx.json
TX,Aramark-American Airlines,2019-04-05,70.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Aramark-Highway 360,2019-04-05,12.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Aramark-American Blvd,2019-04-05,6.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Aramark-Airport Frwy,2019-04-05,10.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Aramark-John Carpenter Fwy,2019-04-05,3.0,Ft. Worth,Tarrant,,warn_tx.json
