date,mktrf,rf,mktret
2021-06-01,0.0003,0.0,0.0003
2021-06-02,0.0011,0.0,0.0011
2021-06-03,-0.0053,0.0,-0.0053
2021-06-04,0.009,0.0,0.009
2021-06-07,0.0014,0.0,0.0014
2021-06-08,0.0018,0.0,0.0018
2021-06-09,-0.0029,0.0,-0.0029
2021-06-10,0.0041,0.0,0.0041
2021-06-11,0.0037,0.0,0.0037
2021-06-14,0.0015,0.0,0.0015
2021-06-15,-0.003,0.0,-0.003
2021-06-16,-0.0046,0.0,-0.0046
2021-06-17,0.0001,0.0,0.0001
2021-06-18,-0.0123,0.0,-0.0123
2021-06-21,0.0136,0.0,0.0136
2021-06-22,0.0058,0.0,0.0058
2021-06-23,0.0,0.0,0.0
2021-06-24,0.0069,0.0,0.0069
2021-06-25,0.0031,0.0,0.0031
2021-06-28,0.0021,0.0,0.0021
2021-06-29,0.0001,0.0,0.0001
2021-06-30,0.0007,0.0,0.0007
2021-07-01,0.0044,0.0,0.0044
2021-07-02,0.0056,0.0,0.0056
2021-07-06,-0.0027,0.0,-0.0027
2021-07-07,0.001,0.0,0.001
2021-07-08,-0.0086,0.0,-0.0086
2021-07-09,0.0126,0.0,0.0126
2021-07-12,0.0023,0.0,0.0023
2021-07-13,-0.0055,0.0,-0.0055
2021-07-14,-0.0025,0.0,-0.0025
2021-07-15,-0.0038,0.0,-0.0038
2021-07-16,-0.0076,0.0,-0.0076
2021-07-19,-0.0142,0.0,-0.0142
2021-07-20,0.017,0.0,0.017
2021-07-21,0.0095,0.0,0.0095
2021-07-22,0.001,0.0,0.001
2021-07-23,0.0099,0.0,0.0099
2021-07-26,0.0018,0.0,0.0018
2021-07-27,-0.0065,0.0,-0.0065
2021-07-28,0.0027,0.0,0.0027
2021-07-29,0.0041,0.0,0.0041
2021-07-30,-0.0065,0.0,-0.0065
2021-08-02,-0.0012,0.0,-0.0012
2021-08-03,0.0073,0.0,0.0073
2021-08-04,-0.0039,0.0,-0.0039
2021-08-05,0.0074,0.0,0.0074
2021-08-06,0.0009,0.0,0.0009
2021-08-09,0.0,0.0,0.0
2021-08-10,0.0006,0.0,0.0006
2021-08-11,0.002,0.0,0.002
