event,n,sd_ann,se_mean,mde_mean
CHIPS Act signed,1967,2.8981580744330158,0.06534613258194416,0.18307274484958605
ChatGPT release,1969,3.118189377018187,0.07027156562922346,0.196871764193348
GENIUS Act signed,1895,2.7171582140151442,0.06241806771100583,0.17486952222813829
GPT-4 release,1977,3.2335092896684943,0.07272283121729521,0.20373919309590602
IRA / buyback excise tax,1968,2.491766625090107,0.056168757563037436,0.15736154865724225
Reciprocal tariff shock,1913,5.8407166306325555,0.1335391634905437,0.3741213173476549
Reg NMS half-cent tick,1881,5.195424593709411,0.11979167791314412,0.3356065679662959
SEC 5-day 13D rule,1957,2.818605267663095,0.0637145831961093,0.17850182056347189
SVB collapse,1977,4.212285484746468,0.09473587328944567,0.26541060156961166
Tariff pause,1913,3.46640810654033,0.07925418542589054,0.22203733707639356
