event,type,real_sd,placebo_mean,ratio,pctile,p_emp
Reg NMS half-cent tick,Microstructure,5.148128194400379,2.7775106027296887,1.8535044256323951,99.43609022556392,0.005639097744360902
Reciprocal tariff shock,Trade,5.096398555467173,2.7775106027296887,1.8348799642595504,99.06015037593986,0.009398496240601503
SVB collapse,Banking,4.066422162375516,2.7775106027296887,1.4640527954705582,96.61654135338345,0.03383458646616541
GPT-4 release,Technology,3.211669243308642,2.7775106027296887,1.1563121451821892,80.26315789473685,0.19736842105263158
Tariff pause,Trade (reversal),3.2000956675029695,2.7775106027296887,1.1521452571082795,80.07518796992481,0.19924812030075187
ChatGPT release,Technology,3.178808131290298,2.7775106027296887,1.1444810069010072,80.07518796992481,0.19924812030075187
CHIPS Act signed,Industrial policy,2.8988356026600495,2.7775106027296887,1.043681201364677,69.54887218045113,0.30451127819548873
SEC 5-day 13D rule,Disclosure,2.789084268891121,2.7775106027296887,1.0041669206051123,60.338345864661655,0.3966165413533835
GENIUS Act signed,Crypto/regulatory,2.7330690993951596,2.7775106027296887,0.9839995198251078,56.57894736842105,0.4342105263157895
IRA / buyback excise tax,Tax,2.563580627514752,2.7775106027296887,0.9229778006950936,40.78947368421053,0.5921052631578947
