event,slope,t,r2,sd_total,sd_resid,idio_share
Reciprocal tariff shock,4.0554274981677425,17.78845354350559,0.14399967781706757,5.8407166306325555,5.405283938259982,92.54487557076682
Tariff pause,-2.2038655722198794,-16.138053789921777,0.12161777669244789,3.46640810654033,3.249652126006791,93.74695725743979
IRA / buyback excise tax,-1.2622414970717575,-13.380889643860264,0.08358738473802285,2.491766625090107,2.385961798884887,95.75382280427671
CHIPS Act signed,-1.1577087999217572,-10.45179942797295,0.05274140389977777,2.8981580744330158,2.8214151585959844,97.3520106955503
SEC 5-day 13D rule,0.5017153430131306,4.193559945094137,0.009034250482569672,2.818605267663095,2.8065715733156242,99.57306209260554
GPT-4 release,-0.6240953400998951,-4.210035126025133,0.008939414777085486,3.2335092896684943,3.2198429900326473,99.57735393927852
Reg NMS half-cent tick,-0.5776981223232328,-2.4600651424361226,0.003251881604349416,5.1954245937094115,5.188368178978666,99.86418021080917
SVB collapse,-0.4402682552442761,-2.2781109979200673,0.0026301523279137484,4.212285484746468,4.207811011728084,99.89377564662729
GENIUS Act signed,-0.023781969273696787,-0.1944974755256519,2.027250862368657e-05,2.7171582140151442,2.717858637432812,100.02577779291816
ChatGPT release,-0.00513020649153427,-0.039284808236638304,7.849923430169881e-07,3.118189377018187,3.1189810808464773,100.02538985714355
